descriptor_id,source_table,measurement_type,aggregation_level,descriptor_name,descriptor_value,descriptor_unit,cell_id,cell_family,chemistry_type,temperature_deg_c,actual_temperature_deg_c,direction,pulse_direction,abs_c_rate,nominal_soc_percent,voltage_v,voltage_window_v,source_member_path,source_notes
D000061,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.284048916956514,Ah,TC23SIB09,SIB,sodium-ion,5.0,5.916754995425852,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000062,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.521411041267123,Ah,TC23SIB09,SIB,sodium-ion,5.0,5.916754995425852,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000063,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.8160716287061319,fraction,TC23SIB09,SIB,sodium-ion,5.0,5.916754995425852,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000064,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0594882016546805,fraction,TC23SIB09,SIB,sodium-ion,5.0,5.916754995425852,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000065,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.4003379576190595,Ah,TC23SIB09,SIB,sodium-ion,15.0,15.73717618601598,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000066,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.4493296398922335,Ah,TC23SIB09,SIB,sodium-ion,15.0,15.73717618601598,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000067,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.8899786158628923,fraction,TC23SIB09,SIB,sodium-ion,15.0,15.73717618601598,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000068,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0092917772539314,fraction,TC23SIB09,SIB,sodium-ion,15.0,15.73717618601598,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000069,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5734512410293595,Ah,TC23SIB09,SIB,sodium-ion,25.0,25.61745157686871,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000070,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.4359867706794878,Ah,TC23SIB09,SIB,sodium-ion,25.0,25.61745157686871,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000071,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0,fraction,TC23SIB09,SIB,sodium-ion,25.0,25.61745157686871,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000072,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0,fraction,TC23SIB09,SIB,sodium-ion,25.0,25.61745157686871,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000073,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5635489686880537,Ah,TC23SIB09,SIB,sodium-ion,35.0,35.51297346552396,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000074,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.431710022751551,Ah,TC23SIB09,SIB,sodium-ion,35.0,35.51297346552396,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000075,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.993706654465614,fraction,TC23SIB09,SIB,sodium-ion,35.0,35.51297346552396,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000076,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.9970217358437686,fraction,TC23SIB09,SIB,sodium-ion,35.0,35.51297346552396,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000077,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.6249944583215998,Ah,TC23SIB09,SIB,sodium-ion,45.0,45.47405447378324,,,,,,,raw_CU_diffT/TC23SIB09/TC23SIB09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
