member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,36,0.0175109793846511,0.6477679369788938,0.37708429888008727,3.27521135512266,5.726277044198896
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,37,0.0175142418700197,0.6652821788489135,0.3872798415103299,3.27387624683674,5.74782359116022
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,38,0.0175069280839266,0.6827891069328401,0.3974711265758744,3.27235040879569,5.726742900552487
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,39,0.017506806972696,0.7002959139055361,0.4076623411390973,3.27120603026489,5.717242928176796
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,40,0.0175072067835201,0.7178031206890563,0.4178537884436703,3.26968019222384,5.717214337016575
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,41,0.0175073920000869,0.7353105126891432,0.42804534356812024,3.26834508393792,5.728496685082873
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,42,0.0175071969192101,0.7528177096083533,0.43823678513039543,3.267009975652,5.725705193370166
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,43,0.0175073500486559,0.7703250596570091,0.44842831583371395,3.26567486736607,5.732839088397789
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,44,0.0175073606508022,0.7878324203078113,0.4586198527088459,3.26414902932502,5.71565361878453
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,45,0.0175072940642288,0.8053397143720401,0.46881135082202335,3.2628139210391,5.732218066298342
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,46,0.0175071996596333,0.8228469140316734,0.4790027939795775,3.26109735324291,5.722439309392264
