cell_id,cell_family,chemistry_type,temperature_deg_c,direction,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,window_width_fraction,n_points,ocv_slope_penalty_v,mean_abs_dv_dcapacity_fraction_v,median_abs_dv_dcapacity_fraction_v,max_abs_dv_dcapacity_fraction_v,mean_dv_dcapacity_fraction_v,voltage_span_v,mean_smoothed_ocv_v,ocv_slope_penalty_vs_25c
TC23LTO09,LTO,lithium-ion,45.0,discharge,5,full,0.0,1.0,1.0,104,0.6391853387422659,1.7708449017206254,0.39131179088057166,28.6708502722571,-1.7708449017206254,-0.6060364892062182,2.404518562287279,0.9749414650558615
TC23LTO09,LTO,lithium-ion,5.0,discharge,5,late_80_100,0.8,1.0,0.19999999999999996,26,0.1251067949863072,1.7084204330165087,0.22469832734311268,7.7507113071357026,-1.7084204330165087,-0.12062869719583036,2.3227821422766435,0.3562847395584948
TC23LTO09,LTO,lithium-ion,15.0,discharge,5,late_80_100,0.8,1.0,0.19999999999999996,25,0.22834364968164106,4.5228147600940805,0.14097681734554612,26.937296230256493,-4.5228147600940805,-0.20844883032195138,2.310847557564065,0.6502872826816793
TC23LTO09,LTO,lithium-ion,25.0,discharge,5,late_80_100,0.8,1.0,0.19999999999999996,26,0.3511427268575649,7.744066003950617,0.1578693175963295,38.12850588893184,-7.744066003950617,-0.30801900732420107,2.2816569887101967,1.0
TC23LTO09,LTO,lithium-ion,35.0,discharge,5,late_80_100,0.8,1.0,0.19999999999999996,25,0.32679095284029147,6.433834422503501,0.1370007236898374,35.126065428145466,-6.433834422503501,-0.2815814086029156,2.2857192494461174,0.930649926213191
TC23LTO09,LTO,lithium-ion,45.0,discharge,5,late_80_100,0.8,1.0,0.19999999999999996,25,0.3254598729492517,6.110839160408965,0.18713989726082048,28.6708502722571,-6.110839160408965,-0.2923204909117749,2.269926122290796,0.9268592172244222
TC23LTO09,LTO,lithium-ion,5.0,discharge,11,central_20_80,0.2,0.8,0.6000000000000001,60,0.1679356068578861,0.28458081083289033,0.33025021570527,0.5912003856834502,-0.28458081083289033,-0.16787511033764924,2.412520765835273,0.9280563529607438
TC23LTO09,LTO,lithium-ion,15.0,discharge,11,central_20_80,0.2,0.8,0.6000000000000001,60,0.1753272520904563,0.29702857665077054,0.3398803403570838,0.6001088876958249,-0.29702857665077054,-0.17526223945693653,2.411064726848459,0.9689045295045298
TC23LTO09,LTO,lithium-ion,25.0,discharge,11,central_20_80,0.2,0.8,0.6000000000000001,60,0.18095410512748214,0.3058111756931697,0.34323307960285376,0.591294302410688,-0.3058111756931697,-0.18091530070784723,2.4084774975888377,1.0
TC23LTO09,LTO,lithium-ion,35.0,discharge,11,central_20_80,0.2,0.8,0.6000000000000001,60,0.1881289366813189,0.317842667453935,0.3546336056799504,0.5847091846385553,-0.317842667453935,-0.18811168236161535,2.406726956075711,1.0396500071041885
TC23LTO09,LTO,lithium-ion,45.0,discharge,11,central_20_80,0.2,0.8,0.6000000000000001,60,0.19334431771203484,0.3244487571743714,0.36134314949683244,0.5877950108690726,-0.3244487571743714,-0.19334856732411643,2.4032712478253457,1.06847157502077
TC23LTO09,LTO,lithium-ion,5.0,discharge,11,early_0_20,0.0,0.2,0.2,19,0.10578793626634692,0.5808030802826933,0.6517536147192402,0.7590663279669627,-0.5808030802826933,-0.10583594223332016,2.585523066131625,1.0484149252346362
TC23LTO09,LTO,lithium-ion,15.0,discharge,11,early_0_20,0.0,0.2,0.2,19,0.10332182031592556,0.5688748763457189,0.632068161189693,0.7533493362504373,-0.5688748763457189,-0.10335622518153809,2.5873546387384723,1.0239743995846102
TC23LTO09,LTO,lithium-ion,25.0,discharge,11,early_0_20,0.0,0.2,0.2,19,0.1009027377616467,0.5557475759972469,0.6034387426114165,0.7668506683615988,-0.5557475759972469,-0.10092853016581049,2.586026113135792,1.0
TC23LTO09,LTO,lithium-ion,35.0,discharge,11,early_0_20,0.0,0.2,0.2,19,0.09890416404902401,0.5458378124997418,0.5907608379417013,0.7533764105531304,-0.5458378124997418,-0.09891701143849385,2.586510406275641,0.9801930675325804
TC23LTO09,LTO,lithium-ion,45.0,discharge,11,early_0_20,0.0,0.2,0.2,19,0.09741714940726155,0.5350487386000635,0.5696565109302867,0.7553029526162902,-0.5350487386000635,-0.09739970205366344,2.584555015862881,0.9654559585626028
TC23LTO09,LTO,lithium-ion,5.0,discharge,11,full,0.0,1.0,1.0,105,0.38101463079458825,0.548098522962037,0.3592281705735161,4.7635570708454615,-0.548098522962037,-0.3774892342671481,2.4218524729605773,0.6826626954909748
TC23LTO09,LTO,lithium-ion,15.0,discharge,11,full,0.0,1.0,1.0,104,0.45536424870324854,0.8523235301613818,0.3636550521164954,14.632893215041577,-0.8523235301613818,-0.44045406431454603,2.419185756391415,0.8158746681241553
TC23LTO09,LTO,lithium-ion,25.0,discharge,11,full,0.0,1.0,1.0,105,0.5581301473058528,1.5093483062179154,0.37609782359058386,26.502936203583207,-1.5093483062179154,-0.527162412213058,2.410024838263553,1.0
TC23LTO09,LTO,lithium-ion,35.0,discharge,11,full,0.0,1.0,1.0,104,0.5441639948723767,1.2390421881459839,0.3818773668574025,23.57720364958709,-1.2390421881459839,-0.5118208660575401,2.4106545779809316,0.9749768893493891
