member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c,smoothing_window_segments,smoothed_ocv_voltage_v,dv_dcapacity_fraction_v,abs_dv_dcapacity_fraction_v
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,27,0.0038207524213871,0.2697484763002996,0.6314616335201374,3.267009975652,5.554570276243094,1,3.267009975652,0.097996900685132,0.097996900685132
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,28,0.0036942331768646,0.2734427094771642,0.6401095656547763,3.26796362442765,5.562313453038675,1,3.26796362442765,0.10036933987336738,0.10036933987336738
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,29,0.003591674556682,0.2770343840338463,0.6485174154923051,3.26872654344818,5.561170303867403,1,3.26872654344818,0.09205130083708468,0.09205130083708468
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,30,0.0034920604000317,0.280526444433878,0.6566920758084589,3.26948946246871,5.562285331491713,1,3.26948946246871,0.09456399144920624,0.09456399144920624
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,31,0.0034030228229491,0.283929467256827,0.6646583056094884,3.27025238148924,5.56248814917127,1,3.27025238148924,0.1095464580576504,0.1095464580576504
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,32,0.0033131213227529,0.2872425885795799,0.6724140825139958,3.27120603026489,5.563700082872928,1,3.27120603026489,0.0990715023320945,0.0990715023320945
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,33,0.0032233553181984,0.2904659438977783,0.6799597237074587,3.27177821953029,5.561954806629835,1,3.27177821953029,0.0768017006044488,0.0768017006044488
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,34,0.0031438146956777,0.293609758593456,0.6873191660681534,3.27235040879569,5.563215745856354,1,3.27235040879569,0.09211855079911402,0.09211855079911402
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,35,0.0030701821215236,0.2966799407149796,0.6945062399091315,3.27311332781621,5.548841243093923,1,3.27311332781621,0.10803181453690058,0.10803181453690058
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,36,0.0029668471823526,0.2996467878973322,0.7014514141465101,3.27387624683674,5.563729585635359,1,3.27387624683674,0.11068211895732816,0.11068211895732816
