cell_id,cell_family,chemistry_type,temperature_deg_c,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,usable_energy_wh,capacity_ah,mean_ocv_v,n_segments,energy_retention_vs_25c
TC23LTO09,LTO,lithium-ion,25.0,5,central,0.2,0.8,2.2112093340528522,0.9182560064738754,2.408053228983709,60,1.0
TC23LTO09,LTO,lithium-ion,35.0,5,central,0.2,0.8,2.2081129269359114,0.9176313489989474,2.4063180628723484,60,0.9985996770774906
TC23LTO09,LTO,lithium-ion,45.0,5,central,0.2,0.8,2.2337026049737574,0.9295931535239366,2.40288206519342,60,1.0101723842127954
TC23LTO09,LTO,lithium-ion,5.0,11,central,0.2,0.8,2.177364244326848,0.9025263749229556,2.412520765835273,60,0.9845203983558115
TC23LTO09,LTO,lithium-ion,15.0,11,central,0.2,0.8,2.1928450832748174,0.9094928468478096,2.411064726848459,60,0.9915202385376498
TC23LTO09,LTO,lithium-ion,25.0,11,central,0.2,0.8,2.2115989145203425,0.9182560064738754,2.4084774975888377,60,1.0
TC23LTO09,LTO,lithium-ion,35.0,11,central,0.2,0.8,2.2084881416354443,0.9176313489989474,2.406726956075711,60,0.9985934281010566
TC23LTO09,LTO,lithium-ion,45.0,11,central,0.2,0.8,2.234064388297041,0.9295931535239366,2.4032712478253457,60,1.0101580235137575
TC23LTO09,LTO,lithium-ion,5.0,1,early_discharge,0.0,0.5,1.8486642686518768,0.7370750733021233,2.5081072816995156,49,0.9830673257985986
TC23LTO09,LTO,lithium-ion,15.0,1,early_discharge,0.0,0.5,1.8635932600036196,0.742749751092674,2.509045447805448,49,0.991006140787288
TC23LTO09,LTO,lithium-ion,25.0,1,early_discharge,0.0,0.5,1.880506268632321,0.7499140651409585,2.507628466633001,49,1.0
TC23LTO09,LTO,lithium-ion,35.0,1,early_discharge,0.0,0.5,1.8794018972403197,0.7494005028213415,2.507873713374387,49,0.9994127265564478
TC23LTO09,LTO,lithium-ion,45.0,1,early_discharge,0.0,0.5,1.9022670125106917,0.7591800348830353,2.5056859567290175,49,1.0115717475880561
TC23LTO09,LTO,lithium-ion,5.0,5,early_discharge,0.0,0.5,1.8485165927431997,0.7370750733021233,2.5079069319806275,49,0.9830753547727513
TC23LTO09,LTO,lithium-ion,15.0,5,early_discharge,0.0,0.5,1.8634387452610202,0.742749751092674,2.5088374422359028,49,0.9910112318095161
TC23LTO09,LTO,lithium-ion,25.0,5,early_discharge,0.0,0.5,1.8803406918592773,0.7499140651409585,2.507407744565755,49,1.0
TC23LTO09,LTO,lithium-ion,35.0,5,early_discharge,0.0,0.5,1.879235213599467,0.7494005028213415,2.507651304424793,49,0.9994120861902333
TC23LTO09,LTO,lithium-ion,45.0,5,early_discharge,0.0,0.5,1.9020947887442288,0.7591800348830353,2.505459071053192,49,1.0115692315648612
TC23LTO09,LTO,lithium-ion,5.0,11,early_discharge,0.0,0.5,1.8481025456015856,0.7370750733021233,2.507345191311409,49,0.9831009881671295
TC23LTO09,LTO,lithium-ion,15.0,11,early_discharge,0.0,0.5,1.862998964001658,0.742749751092674,2.50824543261719,49,0.9910251608187586
TC23LTO09,LTO,lithium-ion,25.0,11,early_discharge,0.0,0.5,1.8798704994154718,0.7499140651409585,2.5067807994057714,49,1.0
TC23LTO09,LTO,lithium-ion,35.0,11,early_discharge,0.0,0.5,1.8787522300251946,0.7494005028213415,2.507006806813016,49,0.9994051348799692
TC23LTO09,LTO,lithium-ion,45.0,11,early_discharge,0.0,0.5,1.901587018775898,0.7591800348830353,2.5047902077375412,49,1.011552135834452
TC23LTO09,LTO,lithium-ion,5.0,1,full,0.0,1.0,3.6495235221138747,1.5017328206469986,2.421708022551259,105,0.9860514486113859
TC23LTO09,LTO,lithium-ion,15.0,1,full,0.0,1.0,3.676462725712013,1.5138675542450344,2.4162108622591805,105,0.9933300537694081
TC23LTO09,LTO,lithium-ion,25.0,1,full,0.0,1.0,3.701149191812803,1.5259930199675806,2.409204072025688,105,1.0
TC23LTO09,LTO,lithium-ion,35.0,1,full,0.0,1.0,3.697020702671615,1.525720775990997,2.406924185652074,105,0.9988845385778232
TC23LTO09,LTO,lithium-ion,45.0,1,full,0.0,1.0,3.7152517546933157,1.5354646618184038,2.4008111835427406,105,1.0038103200248476
TC23LTO09,LTO,lithium-ion,5.0,5,full,0.0,1.0,3.6493027868196974,1.5017328206469986,2.421751228366068,105,0.9861635217727313
TC23LTO09,LTO,lithium-ion,15.0,5,full,0.0,1.0,3.67608304038216,1.5138675542450344,2.4164399408820594,105,0.9934004409076711
TC23LTO09,LTO,lithium-ion,25.0,5,full,0.0,1.0,3.7005047400857993,1.5259930199675806,2.4093722022917268,105,1.0
TC23LTO09,LTO,lithium-ion,35.0,5,full,0.0,1.0,3.6963795479648884,1.525720775990997,2.4070796902525373,105,0.9988852352825752
TC23LTO09,LTO,lithium-ion,45.0,5,full,0.0,1.0,3.7145402581268625,1.5354646618184038,2.400902651494065,105,1.0037928658458461
TC23LTO09,LTO,lithium-ion,5.0,11,full,0.0,1.0,3.648601655409996,1.5017328206469986,2.4218524729605773,105,0.9865389688218956
TC23LTO09,LTO,lithium-ion,15.0,11,full,0.0,1.0,3.674730726942745,1.5138675542450344,2.4168955830085177,105,0.9936039624059363
TC23LTO09,LTO,lithium-ion,25.0,11,full,0.0,1.0,3.6983857411806857,1.5259930199675806,2.410024838263553,105,1.0
TC23LTO09,LTO,lithium-ion,35.0,11,full,0.0,1.0,3.694267256160126,1.525720775990997,2.4077020415744497,105,0.9988864100965182
TC23LTO09,LTO,lithium-ion,45.0,11,full,0.0,1.0,3.7123808876817637,1.5354646618184038,2.4013729133330757,105,1.0037841229878337
TC23LTO09,LTO,lithium-ion,5.0,1,late_discharge,0.5,1.0,1.8008592534619976,0.7646577473448752,2.3461086707965344,56,0.9891336903757469
TC23LTO09,LTO,lithium-ion,15.0,1,late_discharge,0.5,1.0,1.8099673706046375,0.7697010668514217,2.3401904829547466,55,0.9941363831205323
TC23LTO09,LTO,lithium-ion,25.0,1,late_discharge,0.5,1.0,1.820642923180482,0.776078954826622,2.323082726744289,56,1.0
TC23LTO09,LTO,lithium-ion,35.0,1,late_discharge,0.5,1.0,1.815127899289848,0.7750669226390189,2.3246150853609775,55,0.9969708371584475
TC23LTO09,LTO,lithium-ion,45.0,1,late_discharge,0.5,1.0,1.810429346937048,0.7750007989071076,2.314838410719064,55,0.9943901266341717
TC23LTO09,LTO,lithium-ion,5.0,5,late_discharge,0.5,1.0,1.8007861940764984,0.7646577473448752,2.3463649877033284,56,0.9893537870012846
TC23LTO09,LTO,lithium-ion,15.0,5,late_discharge,0.5,1.0,1.8096477965760722,0.7697010668514217,2.339601593506645,55,0.9942223605280545
TC23LTO09,LTO,lithium-ion,25.0,5,late_discharge,0.5,1.0,1.820164048226522,0.776078954826622,2.323591102801952,56,1.0
TC23LTO09,LTO,lithium-ion,35.0,5,late_discharge,0.5,1.0,1.8145938192469835,0.7750669226390189,2.3242453820914393,55,0.9969397104700722
TC23LTO09,LTO,lithium-ion,45.0,5,late_discharge,0.5,1.0,1.8098459128584174,0.7750007989071076,2.3145897453867392,55,0.9943312058173229
TC23LTO09,LTO,lithium-ion,5.0,11,late_discharge,0.5,1.0,1.8004991098084102,0.7646577473448752,2.347046344403599,56,0.9900929442090811
TC23LTO09,LTO,lithium-ion,15.0,11,late_discharge,0.5,1.0,1.8086450946968278,0.7697010668514217,2.3398416812084526,55,0.994572414439152
TC23LTO09,LTO,lithium-ion,25.0,11,late_discharge,0.5,1.0,1.8185152417652146,0.776078954826622,2.3253633722641127,56,1.0
TC23LTO09,LTO,lithium-ion,35.0,11,late_discharge,0.5,1.0,1.8128821900629757,0.7750669226390189,2.3248135013850746,55,0.996902389612764
TC23LTO09,LTO,lithium-ion,45.0,11,late_discharge,0.5,1.0,1.8081315396953743,0.7750007989071076,2.3151944156031203,55,0.9942900109763386
TC23NMC09,NMC,lithium-ion,5.0,1,central,0.2,0.8,3.617641170167285,0.9428320970914932,3.8369932308363253,60,0.9665112633323928
TC23NMC09,NMC,lithium-ion,15.0,1,central,0.2,0.8,3.7434362562963774,0.9748703394079047,3.8399333020916093,60,1.000119452176068
TC23NMC09,NMC,lithium-ion,25.0,1,central,0.2,0.8,3.7429891480976383,0.974431991689946,3.8412046842560557,60,1.0
TC23NMC09,NMC,lithium-ion,35.0,1,central,0.2,0.8,3.7906917041991255,0.9855873286683299,3.846124933232466,60,1.0127445082563844
TC23NMC09,NMC,lithium-ion,45.0,1,central,0.2,0.8,3.7650129673219315,0.9796828452537159,3.8430926867702597,60,1.005884018989338
TC23NMC09,NMC,lithium-ion,5.0,5,central,0.2,0.8,3.617536285672267,0.9428320970914932,3.8368819848969364,60,0.9665120331906489
TC23NMC09,NMC,lithium-ion,15.0,5,central,0.2,0.8,3.7433278034400783,0.9748703394079047,3.839822056152221,60,1.0001202698453675
TC23NMC09,NMC,lithium-ion,25.0,5,central,0.2,0.8,3.742877648124109,0.974431991689946,3.8410902598612555,60,1.0
TC23NMC09,NMC,lithium-ion,35.0,5,central,0.2,0.8,3.790569532909149,0.9855873286683299,3.846000973471433,60,1.0127420368146265
TC23NMC09,NMC,lithium-ion,45.0,5,central,0.2,0.8,3.764892152212105,0.9796828452537159,3.8429693627003085,60,1.0058817055104725
TC23NMC09,NMC,lithium-ion,5.0,11,central,0.2,0.8,3.617138541518823,0.9428320970914932,3.836460117178733,60,0.966522245386298
TC23NMC09,NMC,lithium-ion,15.0,11,central,0.2,0.8,3.7428906121626415,0.9748703394079047,3.8393736049887606,60,1.0001239922603906
TC23NMC09,NMC,lithium-ion,25.0,11,central,0.2,0.8,3.7424265802316126,0.974431991689946,3.8406273611732002,60,1.0
TC23NMC09,NMC,lithium-ion,35.0,11,central,0.2,0.8,3.7900999285032135,0.9855873286683299,3.8455244941102573,60,1.0127386195158572
TC23NMC09,NMC,lithium-ion,45.0,11,central,0.2,0.8,3.7644120022115883,0.9796828452537159,3.8424792448759146,60,1.0058746434989823
TC23NMC09,NMC,lithium-ion,5.0,1,early_discharge,0.0,0.5,3.077428111359213,0.769971676451547,3.9968090824962963,49,0.9458780146583958
TC23NMC09,NMC,lithium-ion,15.0,1,early_discharge,0.0,0.5,3.1874949861968345,0.7961429935063771,4.003670654198093,49,0.9797081589489415
TC23NMC09,NMC,lithium-ion,25.0,1,early_discharge,0.0,0.5,3.253514791197073,0.8120230020086313,4.00667698003209,50,1.0
TC23NMC09,NMC,lithium-ion,35.0,1,early_discharge,0.0,0.5,3.227406123171084,0.8048943501462731,4.009726584752825,49,0.991975242252892
TC23NMC09,NMC,lithium-ion,45.0,1,early_discharge,0.0,0.5,3.272658913854095,0.8164108556944835,4.008591681571747,50,1.0058841357380084
TC23NMC09,NMC,lithium-ion,5.0,5,early_discharge,0.0,0.5,3.0772064042959593,0.769971676451547,3.9965211403826233,49,0.9458775280011917
TC23NMC09,NMC,lithium-ion,15.0,5,early_discharge,0.0,0.5,3.1872606696354673,0.7961429935063771,4.003376420040035,49,0.9797062163530665
TC23NMC09,NMC,lithium-ion,25.0,5,early_discharge,0.0,0.5,3.2532820721501294,0.8120230020086313,4.006390410492223,50,1.0
TC23NMC09,NMC,lithium-ion,35.0,5,early_discharge,0.0,0.5,3.2271718472983513,0.8048943501462731,4.0094355290501795,49,0.991974189672855
TC23NMC09,NMC,lithium-ion,45.0,5,early_discharge,0.0,0.5,3.2724271518179537,0.8164108556944835,4.008307845503534,50,1.005884850819336
TC23NMC09,NMC,lithium-ion,5.0,11,early_discharge,0.0,0.5,3.0764939412828864,0.769971676451547,3.9955958335764916,49,0.9458887562922742
TC23NMC09,NMC,lithium-ion,15.0,11,early_discharge,0.0,0.5,3.1864747342934567,0.7961429935063771,4.002389367546497,49,0.9797030908894769
TC23NMC09,NMC,lithium-ion,25.0,11,early_discharge,0.0,0.5,3.252490232934186,0.8120230020086313,4.005415264224765,50,1.0
TC23NMC09,NMC,lithium-ion,35.0,11,early_discharge,0.0,0.5,3.2263672277533746,0.8048943501462731,4.008435879410341,49,0.9919683063406942
TC23NMC09,NMC,lithium-ion,45.0,11,early_discharge,0.0,0.5,3.271629819483651,0.8164108556944835,4.007331368687858,50,1.005884594627114
TC23NMC09,NMC,lithium-ion,5.0,1,full,0.0,1.0,5.972378229643569,1.571218481198803,3.7665949841306565,105,0.9647288719392692
