cell_family,chemistry_type,temperature_deg_c,pulse_direction,abs_c_rate,nominal_soc_percent,pulse_count,complete_1s_count,complete_10s_count,median_r_fast_mohm,median_r_1s_mohm,median_r_10s_mohm,median_polarization_1s_mohm
LFP,lithium-ion,25.0,charge,3.0,0,1,1,1,75.6985713871057,103.9689785064761,135.0367572448578,28.2704071193704
LFP,lithium-ion,25.0,charge,3.0,10,2,2,2,68.68395013034814,84.3873771734189,98.09873654840645,15.703427043070699
LFP,lithium-ion,25.0,charge,3.0,20,2,2,1,68.36606699182416,83.39134333937625,97.35700922518261,15.025276347552001
LFP,lithium-ion,25.0,charge,3.0,30,2,2,1,66.7978435084407,82.35292508686629,95.6616324863897,15.555081578425549
LFP,lithium-ion,25.0,charge,3.0,40,2,2,0,67.8574196655272,82.05619292806409,,14.198773262536852
LFP,lithium-ion,25.0,charge,3.0,50,2,2,0,66.50115257915135,81.65358218211291,,15.1524296029615
LFP,lithium-ion,25.0,charge,3.0,60,2,2,0,66.2892090149821,81.16613474630294,,14.87692573132075
LFP,lithium-ion,25.0,charge,3.0,70,2,2,0,66.09843518042945,79.38593666662425,,13.287501486194751
LFP,lithium-ion,25.0,charge,3.0,80,2,2,0,64.78451892913189,78.47467154223885,,13.6901526131069
LFP,lithium-ion,25.0,charge,3.0,90,2,2,0,64.55134009526606,77.6480991822242,,13.0967590869581
LFP,lithium-ion,25.0,charge,3.0,100,2,2,0,65.16642195637115,78.15732787225116,,12.9909059158799
LFP,lithium-ion,25.0,discharge,1.0,0,1,1,1,78.5807125360979,113.6750113386295,193.7815629530973,35.094298802531505
LFP,lithium-ion,25.0,discharge,1.0,10,2,2,2,70.82436388771795,88.9437029433707,118.06179868894804,18.119339055652652
LFP,lithium-ion,25.0,discharge,1.0,20,2,2,2,71.6508600551645,87.16355735193451,112.0220190037263,15.512697296769952
LFP,lithium-ion,25.0,discharge,1.0,30,2,2,2,69.9342910919999,85.4469883887666,107.44450176861613,15.512697296766701
LFP,lithium-ion,25.0,discharge,1.0,40,2,2,2,69.552831322404,84.36618570825735,104.51997686840569,14.813354385853302
LFP,lithium-ion,25.0,discharge,1.0,50,2,2,2,69.55283132240385,83.47611291253895,102.7398312769694,13.923281590135051
LFP,lithium-ion,25.0,discharge,1.0,60,2,2,2,70.44290411811865,82.84034662988375,101.8497584812547,12.397442511765048
LFP,lithium-ion,25.0,discharge,1.0,70,2,2,2,68.85348841148719,81.31450755151701,101.7861818529931,12.461019140029801
LFP,lithium-ion,25.0,discharge,1.0,80,2,2,2,68.3448753853616,79.66151521661385,98.54377381144836,11.316639831252251
LFP,lithium-ion,25.0,discharge,1.0,90,2,2,2,66.9461895635213,78.7078657926244,96.25501519389,11.76167622910305
LFP,lithium-ion,25.0,discharge,1.0,100,2,2,2,66.69188305045844,78.32640602303844,97.8444309005316,11.634522972580001
LFP,lithium-ion,25.0,discharge,2.0,0,1,1,1,74.7025372236435,103.1212896823398,183.80002988386929,28.4187524586962
LFP,lithium-ion,25.0,discharge,2.0,10,2,2,2,68.88527581431195,83.507900121918,109.5425290522007,14.622624307606001
LFP,lithium-ion,25.0,discharge,2.0,20,2,2,2,67.4230133835515,81.98206106373385,101.5636623104419,14.559047680182301
LFP,lithium-ion,25.0,discharge,2.0,30,2,2,2,67.10513024642755,80.26549212327315,96.63647368505175,13.160361876845501
LFP,lithium-ion,25.0,discharge,2.0,40,2,2,2,66.94618867786801,79.34363102562166,93.99804364694126,12.3974423477536
LFP,lithium-ion,25.0,discharge,2.0,50,2,2,2,67.67731989324841,78.38998161425484,92.44041627504185,10.712661721006452
LFP,lithium-ion,25.0,discharge,2.0,60,2,2,2,67.42301338354984,77.91315690857145,91.61392011852435,10.4901435250215
LFP,lithium-ion,25.0,discharge,2.0,70,2,2,2,65.2614080511227,76.6734126737976,91.8364383145108,11.4120046226748
LFP,lithium-ion,25.0,discharge,2.0,80,2,2,2,64.8163716591513,75.3383034978864,89.92913949178059,10.52193183873505
LFP,lithium-ion,25.0,discharge,2.0,90,2,2,2,65.35677299225846,74.5118073413672,88.0536289827605,9.155034349108652
LFP,lithium-ion,25.0,discharge,2.0,100,2,2,2,64.3077586397575,74.0985592631109,88.6576069432915,9.7908006233533
LFP,lithium-ion,25.0,discharge,3.0,0,1,1,1,70.4854284082143,95.0684401200376,171.0214694089835,24.5830117118233
LFP,lithium-ion,25.0,discharge,3.0,10,2,2,2,72.64689261656335,80.17012682860465,105.81269977669206,7.52323421204135
LFP,lithium-ion,25.0,discharge,3.0,20,2,2,2,65.5898870035772,78.1780591780928,94.8775199079212,12.5881721745155
LFP,lithium-ion,25.0,discharge,3.0,30,2,2,2,64.42431550593768,76.3555291999645,89.38873776448736,11.9312136940267
LFP,lithium-ion,25.0,discharge,3.0,40,2,2,2,64.3819310878421,75.2111499113728,86.5277895430075,10.829218823530649
LFP,lithium-ion,25.0,discharge,3.0,50,2,2,2,64.1912012064095,74.32107713135585,84.7688361920237,10.12987592494625
LFP,lithium-ion,25.0,discharge,3.0,60,2,2,2,64.67862201451366,73.72769527801275,84.0483010843915,9.049073263499098
LFP,lithium-ion,25.0,discharge,3.0,70,2,2,2,63.5978193530653,72.73166145275576,84.111877711535,9.13384209969035
LFP,lithium-ion,25.0,discharge,3.0,80,2,2,2,63.173975172105905,71.69324320940305,82.60723086912611,8.51926803729715
LFP,lithium-ion,25.0,discharge,3.0,90,2,2,2,62.98324529067226,70.84555484748294,81.2297372810052,7.862309556810601
LFP,lithium-ion,25.0,discharge,3.0,100,2,2,2,62.26271018304,76.84295000806856,94.3689068907693,14.5802398250285
LFP,lithium-ion,35.0,charge,1.0,0,1,1,1,57.4732719519698,75.5290343793579,117.8710688041502,18.0557624273881
LFP,lithium-ion,35.0,charge,1.0,10,2,2,2,52.1328351776714,60.207066967382346,74.89326809670254,8.07423178971095
LFP,lithium-ion,35.0,charge,1.0,20,2,2,2,51.2427623819567,59.4441474281974,75.1475746097654,8.2013850462407
LFP,lithium-ion,35.0,charge,1.0,30,2,2,2,51.306339010218295,58.7448045172772,74.25750181404734,7.43846550705885
LFP,lithium-ion,35.0,charge,1.0,40,2,2,2,50.543419471033246,58.172614862886746,73.9396186727196,7.62919539185345
LFP,lithium-ion,35.0,charge,1.0,50,2,2,2,50.416266214503345,58.04546160636035,74.5753849553748,7.629195391857
LFP,lithium-ion,35.0,charge,1.0,60,2,2,2,50.924879240629096,58.10903823462525,76.41910717507594,7.184158993996101
LFP,lithium-ion,35.0,charge,1.0,70,2,2,2,49.84407656011305,57.21896543890375,74.63896158363981,7.374888878790699
LFP,lithium-ion,35.0,charge,1.0,80,2,2,2,49.52619341878545,56.45604589971885,73.9396186727196,6.929852480933399
LFP,lithium-ion,35.0,charge,1.0,90,2,2,2,49.65334667531485,55.94743287359305,73.49458227486215,6.2940861982781495
