target,feature_set,split_type,folds,mean_rmse,mean_mae,mean_skill_vs_train_mean
target_pulse_power_proxy_vs_25c,core_all_with_eis,leave_one_temperature_out,5,0.325198916688171,0.27079119537165514,-0.2509140776043229
target_pulse_power_proxy_vs_25c,pulse_polarization,li_to_sodium_transfer,1,0.3847866560609833,0.2828572027015773,0.45000868222258694
target_pulse_power_proxy_vs_25c,pulse_fast_only,li_to_sodium_transfer,1,0.3933710776721019,0.27435117722374824,0.4377386170322084
target_pulse_power_proxy_vs_25c,capacity_pulse,li_to_sodium_transfer,1,0.39737034597054394,0.3045998818680883,0.43202229915330315
target_pulse_power_proxy_vs_25c,temperature_chemistry,li_to_sodium_transfer,1,0.39984745828543583,0.3145080352959434,0.4284816611272949
target_pulse_power_proxy_vs_25c,capacity_only,li_to_sodium_transfer,1,0.44833587680962117,0.390659655123822,0.35917517977978974
target_pulse_power_proxy_vs_25c,capacity_ocv_slope,li_to_sodium_transfer,1,0.6239877381204343,0.5670398527662435,0.10810878454315587
target_pulse_power_proxy_vs_25c,core_all_no_eis,li_to_sodium_transfer,1,1.6524533177738714,1.6290417596271474,-1.3619191660951784
target_pulse_power_proxy_vs_25c,core_all_with_eis,li_to_sodium_transfer,1,1.7383333960045837,1.7209367897560628,-1.484671077194328
target_pulse_power_proxy_vs_25c,capacity_only,sodium_to_li_transfer,1,0.3075741954941977,0.24374978004737094,0.23589923403584478
target_pulse_power_proxy_vs_25c,temperature_chemistry,sodium_to_li_transfer,1,0.31413338416388054,0.23213866152280024,0.2196043654804538
target_pulse_power_proxy_vs_25c,capacity_pulse,sodium_to_li_transfer,1,0.38569725765889895,0.3243046534623923,0.04181958589241119
target_pulse_power_proxy_vs_25c,pulse_fast_only,sodium_to_li_transfer,1,0.3888288000242523,0.3143279210818349,0.03403995432685991
target_pulse_power_proxy_vs_25c,pulse_polarization,sodium_to_li_transfer,1,0.3914949129573742,0.314997271254769,0.0274165803111297
target_pulse_power_proxy_vs_25c,core_all_no_eis,sodium_to_li_transfer,1,2.5446980774998025,1.9227196802022861,-5.321745382576456
target_pulse_power_proxy_vs_25c,core_all_with_eis,sodium_to_li_transfer,1,2.5446980774998025,1.9227196802022861,-5.321745382576456
target_pulse_power_proxy_vs_25c,capacity_ocv_slope,sodium_to_li_transfer,1,4.22052026699849,4.098951380098747,-9.484958803514528
target_pulse_r_1s_growth_vs_25c,pulse_polarization,leave_one_family_out,4,0.2956443506776573,0.2486569182137619,0.42476329112030903
target_pulse_r_1s_growth_vs_25c,pulse_fast_only,leave_one_family_out,4,0.3621194309574267,0.30590582482428924,0.3245268476022929
target_pulse_r_1s_growth_vs_25c,temperature_chemistry,leave_one_family_out,4,0.41193349324546213,0.31997198056106163,0.17189921721806833
target_pulse_r_1s_growth_vs_25c,capacity_pulse,leave_one_family_out,4,0.5346992417987404,0.4188947220451936,0.1951849574950648
target_pulse_r_1s_growth_vs_25c,capacity_only,leave_one_family_out,4,0.5910521769264505,0.4513137163626946,0.09435912243601449
target_pulse_r_1s_growth_vs_25c,capacity_ocv_slope,leave_one_family_out,4,0.6539438867872258,0.4979832825158892,0.03278180755570009
target_pulse_r_1s_growth_vs_25c,core_all_no_eis,leave_one_family_out,4,1.1941776775944746,0.93665556864741,-0.7169549425607324
target_pulse_r_1s_growth_vs_25c,core_all_with_eis,leave_one_family_out,4,1.1955053678667016,0.9392713099896414,-0.7254686838346016
target_pulse_r_1s_growth_vs_25c,capacity_pulse,leave_one_temperature_out,5,0.20491593876943645,0.1607457645420484,0.6751898457713974
target_pulse_r_1s_growth_vs_25c,pulse_polarization,leave_one_temperature_out,5,0.2115515750809318,0.16480895743783405,0.650813787288713
target_pulse_r_1s_growth_vs_25c,core_all_no_eis,leave_one_temperature_out,5,0.2127955226837611,0.1825149744455595,0.6987081468502102
target_pulse_r_1s_growth_vs_25c,core_all_with_eis,leave_one_temperature_out,5,0.2160439697737236,0.18527448009100986,0.6952701907098056
target_pulse_r_1s_growth_vs_25c,capacity_ocv_slope,leave_one_temperature_out,5,0.30076586213838924,0.26894641778593353,0.5506144411771574
target_pulse_r_1s_growth_vs_25c,capacity_only,leave_one_temperature_out,5,0.3018922016847073,0.26719633612335836,0.5496137577512312
target_pulse_r_1s_growth_vs_25c,pulse_fast_only,leave_one_temperature_out,5,0.3565133922581972,0.2951715650237087,0.4378518772981919
target_pulse_r_1s_growth_vs_25c,temperature_chemistry,leave_one_temperature_out,5,0.4575740854841298,0.3829750294409494,0.2872529082812137
target_pulse_r_1s_growth_vs_25c,pulse_polarization,li_to_sodium_transfer,1,0.1956915540145643,0.17637585299320394,0.8068253979494435
target_pulse_r_1s_growth_vs_25c,pulse_fast_only,li_to_sodium_transfer,1,0.3996950204251115,0.340046022765344,0.6054457899268173
target_pulse_r_1s_growth_vs_25c,temperature_chemistry,li_to_sodium_transfer,1,0.6621182397475174,0.45485847888273734,0.3463978140613959
target_pulse_r_1s_growth_vs_25c,capacity_pulse,li_to_sodium_transfer,1,1.2105946495603035,0.9080697497666103,-0.19502418410934497
target_pulse_r_1s_growth_vs_25c,capacity_only,li_to_sodium_transfer,1,1.471389390089147,1.0829887418665212,-0.45246462640246543
target_pulse_r_1s_growth_vs_25c,capacity_ocv_slope,li_to_sodium_transfer,1,1.7124573184621212,1.2883183791344517,-0.6904319794908647
target_pulse_r_1s_growth_vs_25c,core_all_with_eis,li_to_sodium_transfer,1,2.159286688479642,1.8908100853569092,-1.1315143050531185
target_pulse_r_1s_growth_vs_25c,core_all_no_eis,li_to_sodium_transfer,1,2.1635782743728487,1.8955461074639768,-1.1357506932879642
target_pulse_r_1s_growth_vs_25c,capacity_only,sodium_to_li_transfer,1,0.2405191957412536,0.18349345417154334,0.5801867134736827
target_pulse_r_1s_growth_vs_25c,pulse_polarization,sodium_to_li_transfer,1,0.34116580995357326,0.2679560384780766,0.40451347558511486
target_pulse_r_1s_growth_vs_25c,capacity_pulse,sodium_to_li_transfer,1,0.34911898178485706,0.27762027236908254,0.3906316430165756
target_pulse_r_1s_growth_vs_25c,pulse_fast_only,sodium_to_li_transfer,1,0.36736575110944564,0.29892829591692943,0.35878289109041395
target_pulse_r_1s_growth_vs_25c,temperature_chemistry,sodium_to_li_transfer,1,0.4981923118838905,0.4080476954962854,0.1304321838864051
