temperature_deg_c,segment_index,cumulative_charge_ah,v_min_instantaneous,v_mean_loaded
25,31,0.5665877610649069,3.21302249438356,3.231780537846093
25,32,0.5842916674336642,3.19241641187802,3.2115401011101654
25,33,0.6019973526492628,3.17219192349294,3.1912763312690946
25,34,0.6197061597924248,3.15158584098739,3.171005114152646
25,35,0.6374128937020642,3.13136135260232,3.1508277133292455
25,36,0.6551170582187492,3.11075527009677,3.1305531215581612
25,37,0.6728225247275222,3.09091237583217,3.110468028183776
25,38,0.6905301074750244,3.07030629332662,3.0901637855910953
25,39,0.7082346787417284,3.04970021082107,3.069812462026944
25,40,0.7259428831004191,3.02928492537576,3.049321119284551
25,41,0.7436542279848755,3.00867884287022,3.028715704774616
25,42,0.7613642201532205,2.98769116624419,3.0078026998692904
25,43,0.7790677302679143,2.96689428667841,2.9870414458391696
25,44,0.7967730704866532,2.94590661005239,2.9660446458449248
25,45,0.8144767219366097,2.92530052754684,2.9452645728501397
25,46,0.8321893575101421,2.90431285092082,2.9246583054736868
25,47,0.8499008517712114,2.88389756547551,2.9040311509733785
25,48,0.8676085590421615,2.8634822800302,2.8837019262860992
25,49,0.8853186774464109,2.84325779164512,2.86334149658032
25,50,0.903028521182075,2.82303330326005,2.8433124826725598
25,51,0.9207368973901761,2.80280881487497,2.82312599054256
25,52,0.9384418129681823,2.78296592061037,2.80330834501484
25,53,0.9561462166102682,2.7627414322253,2.783397846490819
25,54,0.973854900712634,2.74308933502093,2.7636446138753747
25,55,0.9915599377815869,2.72324644075633,2.7438736347134034
25,56,1.0092683160785572,2.70340354649173,2.724170124521085
25,57,1.0269766600310923,2.68375144928736,2.704596415482431
25,58,1.0446846452742242,2.664099352083,2.685174101783922
25,59,1.062388309282691,2.64559203724005,2.666293129416098
25,60,1.0800956434158708,2.62956508418018,2.6485832568620684
25,61,1.0978023793098415,2.62040682528883,2.6358357217638035
25,62,1.11550877278135,2.61411052230102,2.628415475345449
25,63,1.1332129851241473,2.60762342225298,2.622382580225254
25,64,1.1509179324286587,2.6009455251447,2.616519579850535
25,65,1.1686271814476403,2.59350443979547,2.610096744569159
25,66,1.1863331508331414,2.58510936914507,2.60267314498915
25,67,1.2040377278124446,2.575378719073,2.594232920374093
25,68,1.2217429677527856,2.56412169251905,2.5841931579354354
25,69,1.239446685259595,2.55038430418201,2.5718138206451817
25,70,1.2571546472969393,2.53378495994143,2.556652505830117
25,71,1.2748619208895127,2.51317887743589,2.5377815823401644
25,72,1.292572746207558,2.48837525960513,2.5145729113669963
25,73,1.3102813674263654,2.4589925123287,2.4870290868594895
25,74,1.3279910617219268,2.42579382384754,2.455035062445308
25,75,1.3456972479247882,2.38763441180023,2.4186881298337815
25,76,1.3634053166052575,2.34604065266866,2.3784884060096183
25,77,1.3811145912964755,2.3008217493926,2.3348856913213885
25,78,1.3988278075857126,2.25140531079133,2.2875500882986683
25,79,1.4165322935535372,2.19760053980463,2.2362071496999283
25,80,1.434237744565626,2.13883504525177,2.180313880001494
25,81,1.451941685554044,2.07320085653039,2.1190517278482077
25,82,1.469649412042957,1.99802681479719,2.050207814205628
25,83,1.4873525676941808,1.91026016708838,1.97151974215057
25,84,1.5050607912626817,1.8028414221752,1.8787730115147947
25,85,1.5227649511668564,1.66069761229896,1.7639140830619224
25,86,1.5377943341505322,1.49794771991718,1.6333298385981612
25,87,1.543998343123042,1.49737532873647,1.6032805611388936
25,88,1.548088650466328,1.49813851697742,1.5960794971118815
25,89,1.551243988799301,1.49623054637505,1.5917704858360473
25,90,1.5538513304521897,1.49565815519434,1.5877974124257896
25,91,1.5560923266809494,1.49527656107387,1.5885488978619766
25,92,1.5580920828485747,1.49470416989316,1.5938262632394058
25,93,1.5598854860827278,1.49451337283293,1.5877961055686076
25,94,1.5615224511934134,1.49394098165222,1.5968263680487567
25,95,1.5630295601512043,1.49642134343529,1.5932958258477097
25,96,1.564432277263791,1.4927961992908,1.589105033840201
25,97,1.5657451652375007,1.4927961992908,1.5857432625028034
25,98,1.5669784407498157,1.49260540223056,1.6002955999177317
25,99,1.5681526876675387,1.49203301104985,1.5979696010143964
25,100,1.569265814480641,1.49527656107387,1.5964835706253484
25,101,1.5703182511481004,1.49527656107387,1.5941666049683272
25,102,1.5713308132421095,1.49050663456796,1.5912578866711526
25,103,1.5722935746856235,1.49050663456796,1.5893205407756155
25,104,1.5732185958526401,1.48974344632701,1.5869882534214832
