cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
LFP,lithium-ion,charge,1.0,fast,0.9941088777458078,238.56730527699452,0.9941088777458078,2768.4586173428897,0.0,-27.907595750762695,-25.90759575076271,1.9999999999999858,-3.9075957507626953,,True,True
LTO,lithium-ion,charge,1.0,fast,0.9484486232780389,71.04230732482785,0.9951876526803837,19.25594087611738,249.47966007327582,-28.987824502580317,-38.844794219211934,-9.856969716631617,-4.987824502580317,,True,False
NMC,lithium-ion,charge,1.0,fast,0.9817926754514923,214.54730797353636,0.9977790418959362,143.53536762230047,224.64391020163345,-23.211472848085872,-31.730899246358213,-8.51942639827234,0.7885271519141277,,True,False
SIB,sodium-ion,charge,1.0,fast,0.9985381736549992,296.64615376106815,0.9985381736549992,3442.435667066442,0.0,-32.665873960128295,-30.665873960128437,1.999999999999858,-8.665873960128295,,True,True
LFP,lithium-ion,charge,2.0,100ms,0.9959634847509803,246.5867174735163,0.99596348475098,2861.5200315031743,0.0,-29.477251276230433,-27.477251276230078,2.0000000000003553,-5.477251276230433,,False,False
LTO,lithium-ion,charge,2.0,100ms,0.9426321837994514,75.1814038113818,0.9990844271568506,16.355632585172536,253.82596208891064,-27.859828627289524,-46.54827264839171,-18.688444021102185,-3.8598286272895237,,True,False
NMC,lithium-ion,charge,2.0,100ms,0.9774263122696718,224.8632717735413,0.9978560121243839,123.47178459333293,231.15972736763533,-21.65456343730658,-31.425150337899815,-9.770586900593234,2.3454365626934184,,True,False
SIB,sodium-ion,charge,2.0,100ms,0.9964776778842223,293.312351491282,0.9964776778842223,3403.7484982124124,0.0,-28.37767618759392,-26.37767618759394,1.9999999999999787,-4.37767618759392,,True,True
LFP,lithium-ion,charge,2.0,10s,0.9910251737220575,297.42138287791556,0.9993953429905096,309.30470925995627,207.31813013705474,-23.582826839327314,-35.07041427005664,-11.487587430729324,0.41717316067268584,,True,False
LTO,lithium-ion,charge,2.0,10s,0.9653630073613287,86.6552451041043,0.9983843037559832,31.713390538077707,242.5832448583967,-29.081438453871826,-42.40721989245014,-13.32578143857831,-5.081438453871826,,True,False
NMC,lithium-ion,charge,2.0,10s,0.973731875989192,220.16423162929496,0.9998209969647927,93.86937153045228,238.50498973258823,-21.08896034080237,-44.03250387140766,-22.943543530605293,2.9110396591976304,,True,False
SIB,sodium-ion,charge,2.0,10s,0.9558050540104537,163.58393699778617,0.9558050540104543,1898.312761317307,0.0,-21.360981015836103,-19.360981015836177,1.9999999999999254,2.639018984163897,,True,True
LFP,lithium-ion,charge,2.0,1s,0.9924463145189583,297.0264115014263,0.9993091202584611,353.09313056675165,201.27135134139064,-24.465220394037175,-34.42434585954739,-9.959125465510212,-0.46522039403717486,,True,False
LTO,lithium-ion,charge,2.0,1s,0.9461788910796556,71.53340863447052,0.9992390296374468,16.670357176493475,252.5287254853898,-28.695087789727815,-47.98922087275112,-19.294133083023304,-4.695087789727815,,True,False
NMC,lithium-ion,charge,2.0,1s,0.9746214190024325,226.38815030230597,0.9986231343757443,109.24943862510318,235.04839567849274,-20.987006849408584,-33.55748645614932,-12.570479606740737,3.0129931505914165,,True,False
SIB,sodium-ion,charge,2.0,1s,0.9877052954950467,249.6288482400884,0.9877052954950469,2896.8224931126006,0.0,-23.695852247592587,-21.695852247592676,1.9999999999999112,0.3041477524074132,,True,True
LFP,lithium-ion,charge,2.0,end,0.960092981014369,198.89953075061987,0.9600929810143688,2308.133209002259,0.0,-19.98713565008325,-17.98713565008323,2.0000000000000213,4.01286434991675,,False,False
LTO,lithium-ion,charge,2.0,end,0.9650328832881098,86.04711448505367,0.9984401984502101,30.94363825666673,243.01565705957032,-29.102724715280416,-42.65197219452003,-13.549247479239611,-5.1027247152804165,,True,False
NMC,lithium-ion,charge,2.0,end,0.9850756928556413,211.12759166385783,0.999951708943317,142.8990583980627,224.24653925944435,-24.39280885256393,-51.06030951768003,-26.6675006651161,-0.39280885256393105,,True,False
SIB,sodium-ion,charge,2.0,end,0.9713160208738796,165.4480346288068,0.9713160208738794,1919.9447160571897,0.0,-23.48951976362966,-21.48951976362963,2.0000000000000284,0.5104802363703413,,False,False
LFP,lithium-ion,charge,2.0,fast,0.9943032711969025,217.078342061834,0.9943032711969023,2519.089554295035,0.0,-29.02091196869185,-27.020911968691607,2.0000000000002416,-5.020911968691848,,False,False
LTO,lithium-ion,charge,2.0,fast,0.9526019330931409,70.28216990528536,0.9965061408979663,19.82398776081211,248.6370156748273,-29.540801191170473,-40.57867399170284,-11.03787280053237,-5.540801191170473,,True,False
