cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
SIB,sodium-ion,charge,2.0,1s,0.24962884824008838,249.6288482400884,0.016079757768805318,16.07975776880532,0.9877052954950467,0.0049432897846890655,5,5.517534261477046,45.38927695608783,3,0.1983159901460676,0.07153340863447052,0.29702641150142634,0.05131285809402078,False
LFP,lithium-ion,charge,2.0,end,0.19889953075061986,198.89953075061987,0.023412140818915062,23.412140818915063,0.960092981014369,0.041708052957120025,5,5.565749900199601,45.22757099800399,3,0.16535807896651045,0.08604711448505367,0.21112759166385783,0.033541451784109416,False
LTO,lithium-ion,charge,2.0,end,0.08604711448505367,86.04711448505367,0.009456589547154035,9.456589547154035,0.9650328832881098,1.0720669293702592,5,5.864908502994012,45.392507664670674,3,0.16535807896651045,0.08604711448505367,0.21112759166385783,-0.07931096448145677,False
NMC,lithium-ion,charge,2.0,end,0.21112759166385783,211.12759166385783,0.015003640658066966,15.003640658066965,0.9850756928556413,0.01541287551067082,5,5.6624798003992005,45.5573226746507,3,0.16535807896651045,0.08604711448505367,0.21112759166385783,0.045769512697347386,False
SIB,sodium-ion,charge,2.0,end,0.1654480346288068,165.4480346288068,0.016414981893461807,16.414981893461807,0.9713160208738796,0.1302635795801166,5,5.517534261477046,45.38927695608783,3,0.16535807896651045,0.08604711448505367,0.21112759166385783,8.995566229635932e-05,False
LFP,lithium-ion,charge,2.0,fast,0.21707834206183402,217.078342061834,0.009486569811844904,9.486569811844904,0.9943032711969025,0.014700348632158394,5,5.565749900199601,45.22757099800399,3,0.1646471377730114,0.07028216990528535,0.21707834206183402,0.052431204288822614,False
LTO,lithium-ion,charge,2.0,fast,0.07028216990528535,70.28216990528536,0.009051261655914232,9.051261655914232,0.9526019330931409,1.483571248960851,5,5.864908502994012,45.392507664670674,3,0.1646471377730114,0.07028216990528535,0.21707834206183402,-0.09436496786772605,False
NMC,lithium-ion,charge,2.0,fast,0.20658090135191484,206.58090135191483,0.014869880330583939,14.869880330583939,0.9846941579630233,0.013518044240525662,5,5.6624798003992005,45.5573226746507,3,0.1646471377730114,0.07028216990528535,0.21707834206183402,0.04193376357890344,False
SIB,sodium-ion,charge,2.0,fast,0.2691991196893284,269.1991196893284,0.005537375351936427,5.537375351936427,0.9987322576817041,0.002224458239449369,5,5.517534261477046,45.38927695608783,3,0.1646471377730114,0.07028216990528535,0.21707834206183402,0.10455198191631701,True
LFP,lithium-ion,charge,3.0,100ms,0.2206569788163045,220.6569788163045,0.008035691756829638,8.035691756829639,0.9960371467202481,0.01339027337706213,5,5.54385,45.22528452095809,3,0.16706906098429908,0.07130766207042945,0.2206569788163045,0.05358791783200542,False
LTO,lithium-ion,charge,3.0,100ms,0.07130766207042945,71.30766207042944,0.009232942496213089,9.23294249621309,0.9521130015351892,1.4863188566580599,5,5.845599999999998,45.38151802395209,3,0.16706906098429908,0.07130766207042945,0.2206569788163045,-0.09576139891386963,False
NMC,lithium-ion,charge,3.0,100ms,0.2092425420661633,209.2425420661633,0.014955479314275766,14.955479314275767,0.9849055758769305,0.012493175890085162,5,5.629505379241517,45.55457001996008,3,0.16706906098429908,0.07130766207042945,0.2206569788163045,0.04217348108186422,False
SIB,sodium-ion,charge,3.0,100ms,0.2522686081792738,252.26860817927383,0.01174602109384502,11.74602109384502,0.9935380899702021,0.004213354488886021,5,5.456723203592815,45.38225,3,0.16706906098429908,0.07130766207042945,0.2206569788163045,0.08519954719497475,True
LFP,lithium-ion,charge,3.0,10s,0.3222421003902141,322.2421003902141,0.04334351574625479,43.343515746254795,0.9650797836506299,0.00039534117627196665,4,15.48034,45.22528452095809,3,0.2133830900875476,0.0905297642999974,0.3222421003902141,0.10885901030266651,False
