cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
NMC,lithium-ion,discharge,2.0,fast,0.20280788611205197,202.80788611205196,0.014131021961363397,14.131021961363398,0.9856444771942786,0.015521033255788602,5,5.658237315369261,45.557822255489015,3,0.16195873600387764,0.07052221888000798,0.21254610301957297,0.04084915010817433,False
SIB,sodium-ion,discharge,2.0,fast,0.2727728581883502,272.7728581883502,0.006570823943574921,6.570823943574921,0.9982621862525428,0.0019462014665691876,5,5.509382165668662,45.37943646706586,3,0.16195873600387764,0.07052221888000798,0.21254610301957297,0.11081412218447254,True
LFP,lithium-ion,discharge,3.0,100ms,0.20718766673098202,207.18766673098202,0.005264880750816253,5.264880750816253,0.9980665629370796,0.021522119942519624,5,5.559912105263158,45.2334505788423,3,0.1637633318118952,0.07485566870751237,0.20924665999719128,0.043424334919086816,False
LTO,lithium-ion,discharge,3.0,100ms,0.07485566870751237,74.85566870751236,0.010320693563907928,10.320693563907929,0.9460485575331228,1.2923256189703,5,5.839722205588823,45.37278005988024,3,0.1637633318118952,0.07485566870751237,0.20924665999719128,-0.08890766310438283,False
NMC,lithium-ion,discharge,3.0,100ms,0.20924665999719128,209.24665999719127,0.016181240873386935,16.181240873386937,0.9823759565024475,0.01240340463683228,5,5.62524259481038,45.55719750499002,3,0.1637633318118952,0.07485566870751237,0.20924665999719128,0.045483328185296074,False
SIB,sodium-ion,discharge,3.0,100ms,0.28354951223338326,283.54951223338327,0.006870453997275703,6.870453997275703,0.9982417927523748,0.0013108440237478906,5,5.532802075848303,45.3786613273453,3,0.1637633318118952,0.07485566870751237,0.20924665999719128,0.11978618042148806,True
LFP,lithium-ion,discharge,3.0,10s,0.18840614193236258,188.40614193236257,0.0036289269187014792,3.628926918701479,0.9988882567692624,0.05590739294729096,5,5.559912105263158,45.2334505788423,3,0.15225806893591307,0.079680231965847,0.1886878329095296,0.03614807299644951,False
LTO,lithium-ion,discharge,3.0,10s,0.079680231965847,79.680231965847,0.011897261056760679,11.897261056760678,0.937310130112227,1.4158196684283428,5,5.839722205588823,45.37278005988024,3,0.15225806893591307,0.079680231965847,0.1886878329095296,-0.07257783697006606,False
NMC,lithium-ion,discharge,3.0,10s,0.1886878329095296,188.6878329095296,0.009949065748840946,9.949065748840946,0.9917283756514934,0.03586942703206005,5,5.62524259481038,45.55719750499002,3,0.15225806893591307,0.079680231965847,0.1886878329095296,0.036429763973616525,False
SIB,sodium-ion,discharge,3.0,10s,0.2562158130701007,256.2158130701007,0.010083416431878885,10.083416431878884,0.9953750021917734,0.004357651953639568,5,5.532802075848303,45.3786613273453,3,0.15225806893591307,0.079680231965847,0.1886878329095296,0.10395774413418765,True
LFP,lithium-ion,discharge,3.0,1s,0.21128254832830698,211.28254832830697,0.004868631867340174,4.868631867340174,0.9984095624942131,0.019986190488296654,5,5.559912105263158,45.2334505788423,3,0.1656787554999667,0.07718528943582126,0.21128254832830698,0.04560379282834029,False
LTO,lithium-ion,discharge,3.0,1s,0.07718528943582126,77.18528943582126,0.011557308216779505,11.557308216779505,0.9369776214615076,1.2810199037421846,5,5.839722205588823,45.37278005988024,3,0.1656787554999667,0.07718528943582126,0.21128254832830698,-0.08849346606414543,False
NMC,lithium-ion,discharge,3.0,1s,0.20856842873577183,208.56842873577185,0.017021821190203335,17.021821190203337,0.9804095816179541,0.013510260712864767,5,5.62524259481038,45.55719750499002,3,0.1656787554999667,0.07718528943582126,0.21128254832830698,0.04288967323580514,False
SIB,sodium-ion,discharge,3.0,1s,0.28912816413763714,289.12816413763716,0.008624854369240537,8.624854369240538,0.9973375212079058,0.001096271944190164,5,5.532802075848303,45.3786613273453,3,0.1656787554999667,0.07718528943582126,0.21128254832830698,0.12344940863767045,True
LFP,lithium-ion,discharge,3.0,end,0.1914299691567519,191.4299691567519,0.003423358855849078,3.4233588558490777,0.9990415051565236,0.0499102755612243,5,5.559912105263158,45.2334505788423,3,0.1535595339590802,0.079680231965847,0.1914299691567519,0.03787043519767169,False
LTO,lithium-ion,discharge,3.0,end,0.079680231965847,79.680231965847,0.011897261056760679,11.897261056760678,0.937310130112227,1.4158196684283428,5,5.839722205588823,45.37278005988024,3,0.1535595339590802,0.079680231965847,0.1914299691567519,-0.0738793019932332,False
NMC,lithium-ion,discharge,3.0,end,0.18956840075464174,189.56840075464174,0.010157506109801052,10.157506109801052,0.9914603728868586,0.03470820480138083,5,5.62524259481038,45.55719750499002,3,0.1535595339590802,0.079680231965847,0.1914299691567519,0.036008866795561534,False
SIB,sodium-ion,discharge,3.0,end,0.25735203067690954,257.3520306769095,0.010392166706154879,10.392166706154878,0.9951319064378068,0.004178873955913497,5,5.532802075848303,45.3786613273453,3,0.1535595339590802,0.079680231965847,0.1914299691567519,0.10379249671782934,True
LFP,lithium-ion,discharge,3.0,fast,0.19224600136809278,192.24600136809278,0.006316215699596526,6.316215699596525,0.9967721271815556,0.03617275648606373,5,5.559912105263158,45.2334505788423,3,0.1524356421535305,0.07093158179743013,0.19412934329506862,0.039810359214562274,False
LTO,lithium-ion,discharge,3.0,fast,0.07093158179743013,70.93158179743013,0.009160843708852331,9.160843708852331,0.9523451311779348,1.4600519539514072,5,5.839722205588823,45.37278005988024,3,0.1524356421535305,0.07093158179743013,0.19412934329506862,-0.08150406035610037,False
NMC,lithium-ion,discharge,3.0,fast,0.19412934329506862,194.12934329506862,0.012994210556598558,12.994210556598558,0.9867370504095434,0.021423503350004418,5,5.62524259481038,45.55719750499002,3,0.1524356421535305,0.07093158179743013,0.19412934329506862,0.041693701141538114,False
SIB,sodium-ion,discharge,3.0,fast,0.25774552438900944,257.74552438900946,0.003806654963453023,3.806654963453023,0.9993460539525516,0.003351614097594779,5,5.532802075848303,45.3786613273453,3,0.1524356421535305,0.07093158179743013,0.19412934329506862,0.10530988223547894,True
