member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,direction,segment_index,segment_capacity_ah,mean_terminal_voltage_v,ocv_voltage_v,mean_current_a,duration_s,overpotential_v,delivered_energy_wh,ocv_energy_wh,polarisation_loss_wh
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,53,0.0175076448131384,2.9059811665655717,3.24889064891448,1.4999510741818625,42.01803766656667,0.3429094823489085,0.05087688609789961,0.05688042351792145,0.00600353742002184
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,54,0.0175075968612148,2.902051404888806,3.24698335136316,1.499932218982392,42.017869000090286,0.3449319464743539,0.050807946067315264,0.05684687553074238,0.0060389294634271146
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,55,0.0175086438041467,2.8976231949940434,3.24488532405671,1.499945749855439,42.020441333646886,0.3472621290626665,0.050733452399784225,0.056813541324212076,0.006080088924427851
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,56,0.0175090387032564,2.892809132591135,3.24278729675026,1.4998825856750675,42.02142333332449,0.34997816415912464,0.050650307063671754,0.05677808828522849,0.006127781221556737
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,57,0.0175073366688637,2.8877340958577786,3.24068926944381,1.4999415703359875,42.017393333197106,0.35295517358603146,0.05055653302633885,0.05673583807932673,0.006179305052987881
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,58,0.0175067889890488,2.8823030619699526,3.23840051238223,1.4999488599231394,42.01610233320389,0.35609745041227736,0.05045987150839721,0.05669399443230321,0.006234122923906002
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,59,0.0175073566566037,2.876924859501198,3.23611175532065,1.49995864802688,42.01743666670518,0.3591868958194522,0.05036734958953697,0.05665576268102647,0.006288413091489503
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,60,0.0175067679359551,2.8708640753565047,3.23344153874881,1.4999115711900355,42.015997333452106,0.36257746339230534,0.05025955114293665,0.05660711065335299,0.006347559510416344
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,61,0.0175080640020089,2.8647657792341303,3.23115278168722,1.4999363229029687,42.01910333352862,0.36638700245308975,0.050156502613596055,0.05657122970204894,0.006414727088452886
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,62,0.0175096660222137,2.857960200008037,3.22867329487051,1.4999292024085968,42.02286466676742,0.37071309486247284,0.0500419286069198,0.05653299108802292,0.0064910624811031215
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,63,0.0175073781908888,2.850995000790529,3.22638453780893,1.4999384854581588,42.017407666600775,0.37538953701840105,0.0499134476991731,0.0564855342926569,0.006572086593483802
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,64,0.0175068455379051,2.843503800635989,3.22390505099222,1.4999203178987162,42.01615766668692,0.38040125035623085,0.04978078182418036,0.056440407756592856,0.006659625932412497
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,65,0.0175111991771143,2.8355784477678725,3.22180702368577,1.499929432512647,42.026604666840285,0.3862285759178974,0.04965437898119581,0.056417704501987326,0.006763325520791515
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,66,0.0175069400272369,2.8273627880426018,3.21970899637932,1.4999318757814089,42.01632433338091,0.3923462083367184,0.04949847076550314,0.05636725230476786,0.006868781539264721
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,67,0.0175072324938501,2.8186657180645023,3.21742023931774,1.4999613656217536,42.01705133350333,0.39875452125323774,0.04934703604860018,0.05632812416015451,0.006981088111554325
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,68,0.0175069357213145,2.8094185860050764,3.21551294176642,1.4999320184909966,42.016322333482094,0.40609435576134345,0.049184310599457146,0.056293778382559605,0.007109467783102459
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,69,0.0175069238255803,2.799685261463943,3.2136056442151,1.4999219838984246,42.01633199991193,0.41392038275115706,0.049013876608049116,0.05626034921872866,0.0072464726106795455
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,70,0.0175067973323971,2.7897796205410454,3.21150761690865,1.4999753435958472,42.01600466662785,0.4217279963676046,0.04884010641886377,0.056223212980669325,0.007383106561805554
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,71,0.0175072936913577,2.7787915768461695,3.20960031935733,1.4999093268231483,42.01726233353838,0.4308087425111604,0.04864912024291686,0.056191415422864245,0.007542295179947388
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,72,0.0175074290623336,2.767391351369424,3.20769302180602,1.4999639929686466,42.017549333453644,0.44030167043659585,0.048449907771815716,0.05615845803301141,0.007708550261195692
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,73,0.0175073168784101,2.7609964503395354,3.20616718376496,1.4999442025574332,42.01725999999326,0.44517073342542446,0.04833763975625972,0.05613138485133286,0.007793745095073135
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,74,0.0175069055703926,2.7555113181662314,3.20425988621365,1.4998432581845305,42.016306666715536,0.4487485680474186,0.04824047644528426,0.05609667525093931,0.007856198805655051
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,75,0.017507349998,2.7372575941589323,3.2015896696418,1.4999492162259858,42.0174443332362,0.4643320754828677,0.04792212673562387,0.05605135089640019,0.00812922416077632
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,76,0.0175073141862033,2.7146797081332616,3.19853799355969,1.4999277991029258,42.017281999927945,0.4838582854264284,0.047526750565199685,0.055997809589757794,0.008471059024558109
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,77,0.017506855515324,2.697809246161956,3.19548631747758,1.4999871167584786,42.01610966643784,0.497677071315624,0.04723015668046252,0.055942917261274754,0.008712760580812232
