model,fit_success,residual_nrmse,near_parameter_bound,elite_parameter_cv,n_parameters,n_starting_points,n_successful_fits,rs_ohm,rct_ohm,q_s_alpha_per_ohm,warburg_sigma_ohm_s_minus_half,alpha,member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,rct2_ohm,q2_s_alpha_per_ohm,alpha1,alpha2,fit_reliable
two_arc_cpe_warburg,True,0.10483488746028179,True,21.786315666665537,8,10,10,0.012337901296838014,0.00010682581848542957,3.544440903187574e-08,0.005841188963739467,0.4741461747517823,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2686mV_25gradC_EIS.csv,20231113_TC23LTO04_2686mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.686,0.0027729925660115264,0.6664300459690335,0.4741461747517823,0.99999999999906,False
randles_cpe,True,0.10142534602673403,True,0.00011035663246483862,4,6,6,0.01575470288550672,0.019483368581957573,3.0055034468938344,,0.5943196894581915,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3494mV_25gradC_EIS.csv,20231113_TC23NMC04_3494mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.494,,,,,False
randles_cpe_warburg,True,0.09680197117508328,True,0.0007975513262745447,5,8,8,0.015992118305403286,0.015445367906095547,1.3838270240440325,0.0031368157679503776,0.7092555973231627,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3494mV_25gradC_EIS.csv,20231113_TC23NMC04_3494mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.494,,,,,False
two_arc_cpe,True,0.10142534613170666,True,1.3443432136687778,7,8,8,0.013730399138504878,0.0020245226798100546,1.0001863964549036e-08,,0.3800483110830713,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3494mV_25gradC_EIS.csv,20231113_TC23NMC04_3494mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.494,0.019483042526979393,3.005262705952697,0.3800483110830713,0.5943449711340761,False
two_arc_cpe_warburg,True,0.09680197085650474,True,33.35288188904008,8,10,10,0.015890395328728033,0.00010149049234737129,1.000000000000002e-08,0.003136794925028835,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3494mV_25gradC_EIS.csv,20231113_TC23NMC04_3494mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.494,0.01544566949187656,1.3840171038021967,0.30000000000000004,0.7092179184805553,False
randles_cpe,True,0.09915324630522762,True,0.00031734102474115775,4,6,6,0.015953553551081835,0.014947389963296578,1.0826107114579988,,0.7305522198622969,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3575mV_25gradC_EIS.csv,20231113_TC23NMC04_3575mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.575,,,,,False
randles_cpe_warburg,True,0.09555479968294013,True,0.00045197411727729346,5,8,8,0.016072533691918686,0.013044442859667237,0.6224875453032305,0.002139514480499448,0.809932578969167,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3575mV_25gradC_EIS.csv,20231113_TC23NMC04_3575mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.575,,,,,False
two_arc_cpe,True,0.09915324635477414,True,1.053558501695392,7,8,8,0.013216344208920696,0.00273705522949998,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3575mV_25gradC_EIS.csv,20231113_TC23NMC04_3575mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.575,0.014947582101607432,1.082720805130553,0.30000000000000004,0.7305262450020846,False
two_arc_cpe_warburg,True,0.09555479959476221,True,0.538403176585749,8,10,10,0.01091540255133939,0.0051570621214631785,1.000000000000002e-08,0.002139466737758496,0.30000000000000004,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3575mV_25gradC_EIS.csv,20231113_TC23NMC04_3575mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.575,0.01304460419020864,0.6225593506740583,0.30000000000000004,0.8099117762478638,False
randles_cpe,True,0.09782474693117543,True,0.0003741441997638122,4,6,6,0.016171224550483133,0.013762025325487037,0.7649758613421266,,0.774038087045856,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3676mV_25gradC_EIS.csv,20231113_TC23NMC04_3676mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.676,,,,,False
randles_cpe_warburg,True,0.09341966482415684,True,0.00021288531840234708,5,8,8,0.01628008692722831,0.012008747659604987,0.43218662729934787,0.002219635587150143,0.8553256219967851,raw_EIS_plotting/TC23NMC04/auxiliary/20231113_TC23NMC04_3676mV_25gradC_EIS.csv,20231113_TC23NMC04_3676mV_25gradC_EIS.csv,TC23NMC04,NMC,lithium-ion,25.0,3.676,,,,,False
