cell_id,cell_family,chemistry_type,temperature_deg_c,direction,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,window_width_fraction,n_points,ocv_slope_penalty_v,mean_abs_dv_dcapacity_fraction_v,median_abs_dv_dcapacity_fraction_v,max_abs_dv_dcapacity_fraction_v,mean_dv_dcapacity_fraction_v,voltage_span_v,mean_smoothed_ocv_v,ocv_slope_penalty_vs_25c
TC23LTO09,LTO,lithium-ion,5.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,57,0.1449017840796903,0.24700546337604398,0.29499256165411225,0.4660687643043815,0.24700546337604398,0.1447773263308556,2.4106115875344316,0.8756300766781139
TC23LTO09,LTO,lithium-ion,15.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,58,0.15796745802087808,0.2688494552475157,0.32197634916111895,0.5144341856887849,0.2688494552475157,0.15782445297253211,2.409259542265662,0.9545849159689922
TC23LTO09,LTO,lithium-ion,25.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,58,0.16548287677532225,0.2825276513314823,0.335533732168777,0.5019442022308596,0.2825276513314823,0.16533990311407987,2.406451608023209,1.0
TC23LTO09,LTO,lithium-ion,35.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,59,0.17952176343874807,0.3021747862126998,0.35062314068336775,0.5315300403899954,0.3021747862126998,0.1794170660695702,2.406620036585985,1.0848358871745174
TC23LTO09,LTO,lithium-ion,45.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,58,0.18393775829458853,0.3136621934155062,0.36130701376420404,0.5405069525230459,0.3136621934155062,0.18391870625587803,2.4031983771112446,1.1115213965268602
TC23LTO09,LTO,lithium-ion,5.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.16640789276934762,0.28222063110090995,0.3304233637716578,0.6150895655906794,-0.28222063110090995,-0.16629364044168726,2.412118057473973,0.9276414046843809
TC23LTO09,LTO,lithium-ion,15.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.17394257154105325,0.2950599902926027,0.33910126472302693,0.642021132957936,-0.2950599902926027,-0.17384724007633956,2.410644851215262,0.9696434989559458
TC23LTO09,LTO,lithium-ion,25.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.17938816867059307,0.3036786109394285,0.3423683587585984,0.6466176684525919,-0.3036786109394285,-0.17926446809715202,2.408053228983709,1.0
TC23LTO09,LTO,lithium-ion,35.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.18663676308591312,0.3156283495390667,0.35489314966486774,0.6184411576372781,-0.3156283495390667,-0.18651287178697018,2.4063180628723484,1.040407315984314
TC23LTO09,LTO,lithium-ion,45.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.19245472179086348,0.32291334053010345,0.3629758414511315,0.5841866063086343,-0.32291334053010345,-0.1923878937250354,2.40288206519342,1.0728395479874944
