cell_family,chemistry_type,pulse_direction,abs_c_rate,soc_percent_round,n,median_r_fast_mohm,median_r_100ms_mohm,median_r_1s_mohm
LTO,lithium-ion,discharge,3.0,30.0,6,28.135,28.575000000000003,30.635
LTO,lithium-ion,discharge,3.0,40.0,6,28.32,28.725,30.805
LTO,lithium-ion,discharge,3.0,50.0,6,28.535,28.975,30.995
LTO,lithium-ion,discharge,3.0,60.0,6,28.645,29.275000000000002,31.099999999999998
LTO,lithium-ion,discharge,3.0,70.0,6,28.745,29.505,31.31
LTO,lithium-ion,discharge,3.0,80.0,6,28.705000000000002,29.575,31.48
LTO,lithium-ion,discharge,3.0,90.0,9,28.32,29.34,31.41
NMC,lithium-ion,charge,1.0,0.0,6,40.230000000000004,46.25,56.529999999999994
NMC,lithium-ion,charge,1.0,10.0,6,38.339999999999996,41.54,44.89
NMC,lithium-ion,charge,1.0,20.0,6,38.214999999999996,40.055,42.6
NMC,lithium-ion,charge,1.0,30.0,6,38.095000000000006,39.169999999999995,41.72
NMC,lithium-ion,charge,1.0,40.0,6,38.154999999999994,39.165000000000006,41.13999999999999
NMC,lithium-ion,charge,1.0,50.0,6,38.540000000000006,39.485,41.26499999999999
NMC,lithium-ion,charge,1.0,60.0,6,38.595,39.550000000000004,41.775
NMC,lithium-ion,charge,1.0,70.0,6,38.154999999999994,39.555,42.230000000000004
NMC,lithium-ion,charge,1.0,80.0,6,38.275000000000006,40.440000000000005,42.855000000000004
NMC,lithium-ion,charge,1.0,90.0,9,37.64,39.050000000000004,42.1
NMC,lithium-ion,charge,2.0,0.0,6,40.120000000000005,46.325,67.16
NMC,lithium-ion,charge,2.0,10.0,6,38.214999999999996,41.245000000000005,44.285
NMC,lithium-ion,charge,2.0,20.0,6,37.989999999999995,39.83,42.24999999999999
NMC,lithium-ion,charge,2.0,30.0,6,38.025000000000006,38.945,41.455
NMC,lithium-ion,charge,2.0,40.0,6,38.095000000000006,39.074999999999996,41.01499999999999
NMC,lithium-ion,charge,2.0,50.0,6,38.32,39.309999999999995,41.26499999999999
NMC,lithium-ion,charge,2.0,60.0,6,38.375,39.425000000000004,41.615
NMC,lithium-ion,charge,2.0,70.0,6,37.99,39.455000000000005,41.965
NMC,lithium-ion,charge,2.0,80.0,6,38.214999999999996,40.245000000000005,42.6
NMC,lithium-ion,charge,2.0,90.0,9,37.57,38.989999999999995,41.980000000000004
NMC,lithium-ion,charge,3.0,0.0,6,40.364999999999995,46.57,65.60000000000001
NMC,lithium-ion,charge,3.0,10.0,6,38.195,40.959999999999994,43.77
NMC,lithium-ion,charge,3.0,20.0,6,37.809999999999995,39.629999999999995,41.965
NMC,lithium-ion,charge,3.0,30.0,6,37.794999999999995,38.720000000000006,41.154999999999994
NMC,lithium-ion,charge,3.0,40.0,6,37.900000000000006,38.870000000000005,40.760000000000005
NMC,lithium-ion,charge,3.0,50.0,6,38.23,39.195,41.099999999999994
NMC,lithium-ion,charge,3.0,60.0,6,38.175,39.32,41.795
NMC,lithium-ion,charge,3.0,70.0,6,37.665000000000006,39.224999999999994,41.815000000000005
