cell_family,temperature_deg_c,final_rested_voltage_v,accessible_capacity_ah,nominal_segment_ah,cutoff_limited_segments,cutoff_limited_charge_ah,final_segment_ah,tail_segments_fitted,ratio_geometric,recovery_geometric_ah,ratio_final,recovery_final_ah,ratio_maximum,recovery_maximum_ah,tail_ratio_from_log_fit,tail_log_fit_r_squared,tail_log_fit_rms_percent,tail_ratio_spread,tail_ratio_first_observed,recovery_window4_ah,ratio_window4,r_squared_window4,recovery_window6_ah,ratio_window6,r_squared_window6,recovery_window8_ah,ratio_window8,r_squared_window8,recovery_window10_ah,ratio_window10,r_squared_window10,recovery_window12_ah,ratio_window12,r_squared_window12,cutoff_voltage_v
NMC,5.0,3.00802663197355,1.571218481198803,0.0157135855440084,6,0.023522430681137695,0.0021907576788003,4,0.8203779710249073,0.010005728973202063,0.8288585074037936,0.010610098767913089,0.8288585074037936,0.010610098767913089,0.8204054550553489,0.9994425188600405,0.5227131043831927,0.017146281563327426,0.7675586721466053,0.010007595447545856,0.8204054550553489,0.9994425188600405,0.009086575582530738,0.8057379676530256,0.9960023845302626,0.007441322134897048,0.7725561123689069,0.9742321975082451,0.007887506553710509,0.7826254969845622,0.9772271442766469,0.009524836930978874,0.8130049944736357,0.937232102353533,2.49426109932049
NMC,15.0,2.83410155187719,1.6144625549042741,0.016247708343334,6,0.012035108049638,0.0009851368205367,4,0.8270440446209111,0.004710745801009658,0.8634438337592046,0.0062290143061108205,0.8634438337592046,0.0062290143061108205,0.8280427663788937,0.9862775905741783,2.486956763330651,0.08076805100465867,0.5722858825088754,0.004743827293339245,0.8280427663788937,0.9862775905741783,0.0029889514246204335,0.7521099784995469,0.9367189260592714,0.0019495076457545551,0.6643079487643366,0.9263561880426541,0.0021578502804736636,0.6865603361146433,0.9425924996202409,0.0026724625408113584,0.7306602710654416,0.9041569120618682,2.49063766015181
NMC,25.0,2.73512445037498,1.6272467358354772,0.01624087766882295,5,0.0081754672328056,0.0010566784323204,4,0.8398600404115528,0.005541789776588971,0.8794945908253291,0.0077120435657831,0.8794945908253291,0.0077120435657831,0.8408194379459036,0.9820703949843929,2.617997437772221,0.0865872868219213,0.6559371737878299,0.005581559419618428,0.8408194379459036,0.9820703949843929,0.0020577137384782582,0.6607111839581127,0.781713381548765,0.0018006035595018773,0.6301805578361951,0.8966686609876304,0.0022696020998831112,0.6823243192839186,0.8816581190862871,0.002958097233618172,0.7368026210566935,0.8270905287877504,2.48892129422981
NMC,35.0,2.68401488736421,1.6361003942256505,0.016426475074180602,6,0.0098829762449692,0.0009216614392118,4,0.8408994335458759,0.004871287383994036,0.8497501386517013,0.005212530172953947,0.8497501386517013,0.005212530172953947,0.8413950921522807,0.9986897821760835,0.6989034389677901,0.02249832025024545,0.654584915006416,0.004889391016344689,0.8413950921522807,0.9986897821760835,0.003588782197800153,0.7956605794497023,0.9604877449546468,0.001687678324561505,0.6467836607529381,0.8417735886870413,0.0019017087118169316,0.6735598274721504,0.8832560128935825,0.0023742955860861113,0.7203660629863662,0.8548953755532696,2.49292614804782
NMC,45.0,2.66589769152084,1.6390654182223405,0.01632817159365375,5,0.0096435646240053,0.0011616324440858,4,0.8112482479240356,0.0049926545032390295,0.8363675186620749,0.005937400917676029,0.8363675186620749,0.005937400917676029,0.8117482782854992,0.9947660275606016,1.691061340116518,0.05431783900347442,0.6765893774483657,0.005009001393980824,0.8117482782854992,0.9947660275606016,0.0022040831950996854,0.6548631647423075,0.8111721487155421,0.002078062137005827,0.6414376679623968,0.9068782059711453,0.0026602850967285987,0.6960603069844694,0.8811490628297637,0.003485508685054851,0.7500328886502724,0.8217846401218353,2.49235402607381
LTO,5.0,2.20828340834299,1.5017328206469986,0.01504286624070245,6,0.0193876764291071,0.0019271514466482,4,0.8459151127609258,0.01057992488756802,0.8630223697376387,0.012141944674791582,0.8630223697376387,0.012141944674791582,0.8462670850530002,0.996450366968292,1.1136642063581919,0.03731747668270613,0.7446409851370275,0.010608559902561533,0.8462670850530002,0.996450366968292,0.008565453405433405,0.8163324099386172,0.9826771650906997,0.006033673208140582,0.7579206262897733,0.9370283422899562,0.0063545866378040385,0.7673010874050524,0.9566998056730203,0.007667395719338001,0.7991409689995398,0.9231259824551121,1.48153556470588
LTO,15.0,2.04843703223593,1.5138675542450344,0.0151583599148025,6,0.0158385191467768,0.0014167363009388,4,0.8312175230680856,0.006977122627380524,0.8375155173878611,0.0073024735470603,0.8397475074417268,0.007423914339322703,0.8320666078422738,0.9987765246759198,0.7181712435910225,0.023160464551685855,0.6480145076262378,0.007019562655067369,0.8320666078422738,0.9987765246759198,0.0051769421266315615,0.785137186094039,0.9636504475900821,0.0033524231612557776,0.7029379469968752,0.9230158070740471,0.0038172564032046595,0.7293201612953627,0.9329926044514848,0.00475709212140944,0.7705254820800578,0.8903494865225117,1.47314267622293
LTO,25.0,1.98568111607934,1.5259930199675806,0.01530432367774065,6,0.012604419998167901,0.0011939989609928,4,0.8451739213778686,0.006517873429102893,0.8516962124311213,0.006857035881514205,0.8516962124311213,0.006857035881514205,0.8456443257725511,0.9991217233462487,0.555366037066962,0.017648396895180607,0.6547691557093679,0.006541375633875658,0.8456443257725511,0.9991217233462487,0.004776930210483901,0.8000312971896288,0.958007325845906,0.0025747221860651574,0.6831819297840881,0.8766586866873219,0.002891825634684126,0.7077703819551798,0.90679356291974,0.0035931615906400253,0.7505830547952803,0.8733347838905774,1.46894623198146
LTO,35.0,1.98739784326903,1.525720775990997,0.015293912820934001,6,0.012868798725206002,0.0012533505306362,4,0.850185941869585,0.007112690322119704,0.8561897237401855,0.007461955240502418,0.8561897237401855,0.007461955240502418,0.8505939446431082,0.999241437074657,0.4981921173045524,0.016006208707981417,0.6694974621136752,0.007135536570641423,0.8505939446431082,0.999241437074657,0.005286616555826496,0.808355223494847,0.9600333355057655,0.0027584100948536464,0.6875809282655885,0.867189873825853,0.00309672547983639,0.7118784757740275,0.9005371141713165,0.0038454064620868193,0.7541850822808401,0.8685062241185494,1.48096332230932
LTO,45.0,1.99044980271738,1.5354646618184038,0.015493493012218251,7,0.017121927025312098,0.0012838280282611,4,0.8761804679470606,0.009084714050481337,0.8821422505876709,0.009609202210841692,0.8821422505876709,0.009609202210841692,0.8763594902509401,0.999279890843675,0.3960558667135658,0.013659401368952384,0.5276739323768662,0.009099726931733403,0.8763594902509401,0.999279890843675,0.007350790827683838,0.8513161901318685,0.9774611134286177,0.003527274974194562,0.7331530778688766,0.8239531875239169,0.0033419821509900706,0.7224641784871235,0.9025235496043109,0.003909968680229109,0.7528151176648002,0.8987973538133067,1.4790558476541
