member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,pulse_set,pulse_block_index,nominal_soc_percent,segment_index,step_id,nominal_c_rate,pulse_direction,duration_s,complete_1s,complete_10s,n_points,current_median_a,current_mean_a,pre_voltage_v,pulse_voltage_fast_v,pulse_voltage_100ms_v,pulse_voltage_1s_v,pulse_voltage_10s_v,pulse_voltage_end_v,relax_voltage_60s_v,relax_voltage_end_v,temperature_mean_deg_c,capacity_delta_ah,r_fast_ohm,r_100ms_ohm,r_1s_ohm,r_10s_ohm,r_end_ohm,polarization_1s_minus_fast_ohm,polarization_end_minus_fast_ohm,relaxation_60s_ohm,relaxation_end_ohm
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,456,62,3.0,charge,9.99999933334766,True,True,1002,4.5000039567208,4.495501254842907,3.40954346642721,3.87585148164535,3.90618821422296,3.81307924882753,3.75278737779277,3.75278737779277,3.45838751384777,3.45838751384777,15.434827295409184,0.012499994150384167,0.10362391226827805,0.110365402469037,0.0896745394629343,0.07627635768029091,0.07627635768029091,-0.013949372805343752,-0.02734755458798714,0.06542213446397326,0.06542213446397326
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,460,66,-3.0,discharge,9.99999933334766,True,True,1002,-4.50000399640707,-4.495512072126421,3.42843237539063,2.9543016807028,2.90564843034248,2.88771350668024,2.85508720937979,2.85508720937979,3.40324716343941,3.40324716343941,15.51717132734531,-0.012499997571334229,0.10536228302605717,0.116174106837584,0.12015964188967722,0.12740992373975998,0.12740992373975998,0.014797358863620047,0.022047640713702812,0.12181321494320586,0.12181321494320586
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,464,70,2.0,charge,9.999999333405867,True,True,1002,2.99999663195698,2.9969999610741747,3.40782629288509,3.74668187186521,3.78503208097275,3.73370767176912,3.67875811842099,3.67875811842099,3.44426853139027,3.44426853139027,15.469524241516966,0.008333331128336653,0.11295198646908987,0.12573540385663645,0.10862724824842517,0.09031070990208541,0.09031070990208541,-0.004324738220664703,-0.02264127656700446,0.07816328342934038,0.07816328342934038
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,468,74,-2.0,discharge,10.000001000153134,True,True,1002,-2.99999667164326,-2.997009523249414,3.42080049298117,3.07583940807348,3.03062050479742,3.01554753703873,2.99074391920798,2.99074391920798,3.40362875755988,3.40362875755988,15.480195548902195,-0.008333331731709234,0.1149871558753217,0.13006014035676483,0.13508446851724704,0.14335235030031707,0.14335235030031707,0.02009731264192534,0.02836519442499537,0.13762843214280657,0.13762843214280657
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,472,78,1.0,charge,9.99999933334766,True,True,1002,1.49999831597849,1.4984975639714364,3.4068723075839,3.59461661485667,3.6297232739402,3.6375459534099,3.60759081495276,3.60759081495276,3.41603056647526,3.41603056647526,15.459122944111776,0.004166665141921758,0.12516301203331623,0.14856747769808548,0.15378260319947454,0.1338124884746459,0.1338124884746459,0.02861959116615831,0.008649476441329684,0.12770697569252928,0.12770697569252928
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,7,70,476,82,-1.0,discharge,9.99999933334766,True,True,1002,-1.49999835566477,-1.498507060398947,3.41355020469218,3.22485191211823,3.1855477177095,3.17448148821578,3.1599809116378,3.1599809116378,3.4047735399213,3.4047735399213,15.45111003992016,-0.004166666024769295,0.12579899961978463,0.1520018246164235,0.15937931903295285,0.16904638068219952,0.16904638068219952,0.03358031941316822,0.04324738106241488,0.16319526442081525,0.16319526442081525
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,482,62,3.0,charge,9.99999933334766,True,True,1002,4.5000039567208,4.495502363008975,3.53470633794239,3.99758000607627,4.0206664503649,3.92679429672851,3.86535764333234,3.86535764333234,3.57897125591727,3.57897125591727,15.45805720558882,0.012499997020949446,0.10286072469838022,0.10799104114046926,0.08713058089660848,0.07347800325733476,0.07347800325733476,-0.015730143801771734,-0.02938272144104545,0.06364136346754744,0.06364136346754744
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,486,66,-3.0,discharge,10.000005333480658,True,True,1002,-4.50000399640707,-4.495512746397093,3.55283205866487,3.08251730518176,3.03672601072499,3.01860029000252,2.9861647897623,2.9861647897623,3.52802844083411,3.52802844083411,15.502042854291417,-0.012500006495573052,0.10451429684476332,0.11469013102031762,0.11871806538147424,0.1259259479224936,0.1259259479224936,0.014203768536710917,0.02141165107773027,0.12041403774406627,0.12041403774406627
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,490,70,2.0,charge,9.99999933334766,True,True,1002,2.99999663195698,2.9969987957155064,3.53260757027979,3.86898278747684,3.90485263480131,3.84856750203152,3.79285476044245,3.79285476044245,3.56637864994166,3.56637864994166,15.504394451097808,0.008333328964906059,0.11212519827984714,0.12408182747815101,0.10532009549144745,0.08674916077918847,0.08674916077918847,-0.006805102788399686,-0.02537603750065867,0.0754921215871678,0.0754921215871678
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,494,74,-2.0,discharge,9.999999666732037,True,True,1002,-2.99999667164326,-2.9970091565672075,3.54500937919517,3.20386423549221,3.16017170869804,3.14509874093935,3.12010432604836,3.12010432604836,3.52821923789435,3.52821923789435,15.499354081836326,-0.008333330056577687,0.11371517406254193,0.12827936581887392,0.1333036939793561,0.14163517485306626,0.14163517485306626,0.019588519916814165,0.027920000790524327,0.13603845487683278,0.13603845487683278
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,498,78,1.0,charge,9.99999933334766,True,True,1002,1.49999831597849,1.4984984356041124,3.53165358497861,3.7169175304683,3.75164259543136,3.75832049253964,3.7226414422754,3.7226414422754,3.54157503211091,3.54157503211091,15.452886397205587,0.00416666718317098,0.12350943565482425,0.14665950495367414,0.15111144135729854,0.12732538114364725,0.12732538114364725,0.027602005702474286,0.003815945488822997,0.12071107562969212,0.12071107562969212
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,8,80,502,82,-1.0,discharge,9.99999933334766,True,True,1002,-1.49999835566477,-1.498506037427676,3.53794988796642,3.35058717481412,3.31280935688728,3.30174312739356,3.28743334787582,3.28743334787582,3.52955481731601,3.52955481731601,15.414399221556884,-0.0041666626548326575,0.12490861236262131,0.15009385192249924,0.1574713463390286,0.16701120980867737,0.16701120980867737,0.032562733976407285,0.04210259744605606,0.1614144899064815,0.1614144899064815
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,508,62,3.0,charge,10.000000333442586,True,True,1002,4.5000039567208,4.495501346018371,3.65796123885521,4.1156833863627,4.12865758645879,4.03898296814761,3.98193464713688,3.98193464713688,3.69974579504701,3.69974579504701,15.464147405189618,0.012499996729946014,0.10171594334353357,0.1045990963853689,0.08467142094916165,0.07199402742697869,0.07199402742697869,-0.017044522394371917,-0.029721915916554875,0.06270857865989608,0.06270857865989608
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,512,66,-3.0,discharge,9.999999333376763,True,True,1002,-4.50000399640707,-4.495511164332495,3.67837652430052,3.2168384355883,3.17066554701105,3.14948707332479,3.11209084951843,3.11209084951843,3.65071095056622,3.65071095056622,15.523074071856287,-0.012499995379160647,0.10256392862778006,0.11282456142146559,0.1175308847276603,0.12584114930436247,0.12584114930436247,0.014966956099880233,0.023277220676582402,0.11969324948996478,0.11969324948996478
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,516,70,2.0,charge,9.999999666732037,True,True,1002,2.99999663195698,2.996999313379844,3.65548087707213,3.98842174718492,4.02333760920821,3.96228254993251,3.9084777789458,3.9084777789458,3.68753478319187,3.68753478319187,15.47449856287425,0.008333330142488287,0.11098041463320031,0.12261904837410331,0.10226733910039253,0.08433239530293511,0.08433239530293511,-0.008713075532807785,-0.0266480193302652,0.07364774793423777,0.07364774793423777
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,520,74,-2.0,discharge,10.000000000087311,True,True,1002,-2.99999667164326,-2.9970087477826906,3.66921826540916,3.33284304821212,3.28895972435771,3.27274197423761,3.24545799462378,3.24545799462378,3.65071095056622,3.65071095056622,15.495042774451097,-0.00833333004269639,0.11212519679656476,0.12675298764353687,0.13215891034784993,0.1412535803092287,0.1412535803092287,0.02003371355128518,0.029128383512663933,0.13508446851724717,0.13508446851724717
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,524,78,1.0,charge,9.999999999738066,True,True,1002,1.49999831597849,1.4984969768363072,3.65414529765048,3.83807366371851,3.87184474338038,3.87623307576583,3.83616569311615,3.83616569311615,3.66711949774656,3.66711949774656,15.492868003992013,0.004166664655559435,0.12261904837409665,0.1451331267581383,0.1480586849662402,0.12134706654449354,0.12134706654449354,0.025439636592143544,-0.0012719818296031138,0.11269759010317064,0.11269759010317064
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,9,90,528,82,-1.0,discharge,9.999999666732037,True,True,1002,-1.49999835566477,-1.4985089066426676,3.66139558593947,3.47632243751001,3.43854461958317,3.42709679596898,3.41164223408982,3.41164223408982,3.65185573292764,3.65185573292764,15.450695828343315,-0.004166670107171326,0.12338223420747622,0.14856747376735416,0.15619936454307187,0.1665024170902935,0.1665024170902935,0.03281713033559565,0.043120182882817285,0.16014250811052538,0.16014250811052538
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,534,62,3.0,charge,0.1365369998384267,False,False,16,4.500045746372555,4.2183218284555615,3.79934186049049,4.24275422848025,4.24218183729954,,,4.23378676664913,3.7999142516712,3.7999142516712,15.45226,0.00017066879635901837,0.09853508008161715,0.09840788333452376,,,0.09654233104382154,,-0.001992749037795616,0.09641513429672814,0.09641513429672814
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,538,66,-3.0,discharge,10.00000033347169,True,True,1002,-4.50000399640707,-4.495513220533266,3.79915106343026,3.3452448571275,3.29754559206836,3.27293277129784,3.22485191211823,3.22485191211823,3.76671556319004,3.76671556319004,15.463517215568864,-0.012500000286175655,0.10086795626518802,0.11146778353139147,0.11693729440075323,0.12762192028508565,0.12762192028508565,0.016069338135565214,0.02675396401989763,0.12041403774406627,0.12041403774406627
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,542,70,2.0,charge,10.000001999898814,True,True,1002,2.99999663195698,2.996999169091307,3.77263027205738,4.10328157744732,4.1391514247718,4.08324788612249,4.0269627533527,4.0269627533527,3.80449338111688,3.80449338111688,15.461324600798402,0.008333333030635198,0.1102172255354324,0.12217385473373951,0.10353932092999905,0.08477758894329565,0.08477758894329565,-0.006677904605433341,-0.025439636592136744,0.0741565406660798,0.0741565406660798
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,546,74,-2.0,discharge,10.000004666741006,True,True,1002,-2.99999667164326,-2.997008823075721,3.7899928045389,3.46105867269108,3.41984650767999,3.40019441047562,3.36260738960902,3.36260738960902,3.76824193967194,3.76824193967194,15.489622085828344,-0.008333334676126417,0.10964483226164551,0.12338223583966874,0.12993294217548798,0.14246196303137174,0.14246196303137174,0.020288109913842473,0.03281713076972623,0.13521166669852744,0.13521166669852744
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,550,78,1.0,charge,10.000001333537512,True,True,1002,1.49999831597849,1.498497354727313,3.77205788087667,3.95445987046281,3.98746776188374,3.99071131190776,3.95026233513761,3.95026233513761,3.78674925451488,3.78674925451488,15.434400469061874,0.004166665675974747,0.12160146291041261,0.1436067485626158,0.14576911767294654,0.11880310288528048,0.11880310288528048,0.02416765476253392,-0.0027983600251321322,0.1090088427973106,0.1090088427973106
raw_CU_diffT/TC23SIB09/TC23SIB09_15deg.parquet,TC23SIB09_15deg.parquet,TC23SIB09,SIB,sodium-ion,15.0,,charge_sweep,10,100,554,82,-1.0,discharge,9.999999666761141,True,True,1002,-1.49999835566477,-1.4985057045699028,3.78083454564755,3.59805096194093,3.56160872343575,3.54920691452037,3.53031800555695,3.53031800555695,3.76976831615383,3.76976831615383,15.478197724550897,-0.004166662933883818,0.12185585605233114,0.14615070835503893,0.15441859002873842,0.16701120980867737,0.16701120980867737,0.032562733976407285,0.04515535375634623,0.15963371539214802,0.15963371539214802
