member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,direction,soc_percent,dudt_v_per_k,dudt_mv_per_k,entropic_heat_sensitivity_v_at_25c
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,10,-0.0001158650044763523,-0.1158650044763523,0.034545151084624436
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,0,-0.0005370068932418484,-0.5370068932418484,0.16010860522005707
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,100,-0.00015419817405016125,-0.15419817405016126,0.04597418559305557
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,90,-0.00020235703413755114,-0.20235703413755116,0.06033274972811087
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,80,1.4712313888799736e-06,0.0014712313888799735,0.00043864763859456407
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,70,5.8399903412275565e-05,0.058399903412275564,0.01741193120236996
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,60,-0.00012333735185588525,-0.12333735185588525,0.03677303145583218
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,50,-0.00020308064044331824,-0.20308064044331825,0.060548492948175325
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,40,-0.0003034128279246383,-0.3034128279246383,0.09046253464573091
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,30,-0.0004371001428156755,-0.4371001428156755,0.13032140758049365
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,20,-0.0005567904485239247,-0.5567904485239248,0.16600707222740815
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,10,-0.0005577700201278768,-0.5577700201278768,0.16629913150112643
data_dUdT/b_dUdT_charge_LTO.npy,b_dUdT_charge_LTO.npy,,LTO,lithium-ion,,,charge,0,-0.0006314965135562375,-0.6314965135562375,0.1882806855167922
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,100,5.532853632005745e-05,0.05532853632005745,0.01649620310382513
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,90,5.028168668015499e-05,0.05028168668015499,0.014991484883688209
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,80,0.00013505643937472377,0.13505643937472378,0.040267077399573886
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,70,0.0001312084017410707,0.1312084017410707,0.03911978497910023
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,60,0.00012524450857586412,0.1252445085758641,0.03734165023189388
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,50,0.00014555277707341608,0.14555277707341607,0.043396560484439
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,40,8.871970475400091e-05,0.08871970475400091,0.02645177997240537
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,30,-0.00013499575583832897,-0.13499575583832896,0.04024898460319778
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,20,-7.046040078065557e-05,-0.07046040078065557,0.021007768492752456
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,10,-9.873123967568925e-05,-0.09873123967568925,0.029436719109306748
data_dUdT/b_dUdT_charge_NMC.npy,b_dUdT_charge_NMC.npy,,NMC,lithium-ion,,,charge,0,-0.0004188322240996227,-0.41883222409962273,0.1248748276153025
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,100,8.52167834080204e-05,0.0852167834080204,0.02540738397310128
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,90,2.5825884317596216e-05,0.025825884317596217,0.007699987409291311
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,80,-0.00015134500706176935,-0.15134500706176934,0.04512351385546653
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,70,-0.0002522980363695213,-0.2522980363695213,0.07522265954357277
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,60,-0.00022749725083701035,-0.22749725083701036,0.06782830533705463
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,50,-0.00026035400679157817,-0.26035400679157816,0.07762454712490903
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,40,-0.0003274772231294176,-0.3274772231294176,0.09763733407603585
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,30,-0.00038381714461376806,-0.3838171446137681,0.11443508166659494
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,20,-0.0002928173421297259,-0.2928173421297259,0.08730349055597776
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,10,-0.0003146026427415001,-0.31460264274150007,0.09379877793337825
data_dUdT/b_dUdT_charge_SIB.npy,b_dUdT_charge_SIB.npy,,SIB,sodium-ion,,,charge,0,-0.0003998466732806744,-0.3998466732806744,0.11921428563863307
